Licorice Pizza,The Matrix Resurrections,C'mon C'mon,I'm Your Man,No Sudden MOve,Red Rocket,Benedetta,The Beatles: Get Back,Dune,Drive My Car,,,,,
Pig,The French Dispatch,The Card Counter,Red Rocket,The Last Duel,The Beta Test,Dune,Wrath of Man,Zack Snyder's Justice League,Spider-Man: No Way Home,,,,,
First Cow,Annette,Memoria,Drive My Car,France,The French Dispatch,All Hands on Deck,The Girl & The Spider,The Card Counter,Benedetta,,,,,
Dune,Beans,Nightmare Alley,"tick, tick...BOOM!",Spider-Man: No Way Home,Passing,Pig,The Power of the Dog,West Side Story,No Ordinary Man,,,,,
The Beatles: Get Back,Dune,The Power of the Dog,Wheel of Fortune and Fantasy,Drive My Car,Summer of Soul,The Tragedy of Macbeth,CODA,Faya Dayi,Don't Look Up,,,,,
West Side Story,CODA,The Power of the Dog,Licorice Pizza,Belfast,The Tragedy of Macbeth,Nightmare Alley,The French Dispatch,C'mon C'mon,The Lost Daughter,,,,,
Belfast,Licorice Pizza,West Side Story,Pig,The Card Counter,Those Who Wish Me Dead,Old Henry,In the Heights,The Harder They Fall,A Quiet Place Part II,,,,,
A Knight of Knowing Nothing,The Underground Railroad,Drive My Car,Passing,West Side Story,The Lost Daughter,Licorice Pizza,Summer of Soul,It's a Sin,The Green Knight,The Tragedy of Macbeth,,,,
The Disciple,"Quo Vadis, Aida?",Gunda,Summer of Soul,The White Tiger,Mass,King Richard,Milkwater,Boiling Point,Language Lessons,,,,,
Licorice Pizza,I Care a Lot,Spider-Man: No Way Home,Dune,Barb & Star Go to Vista Del Mar,The French Dispatch,The Green Knight,The Night House,Nightmare Alley,Swan Song,,,,,
Spider-Man: No Way Home,"tick, tick...BOOM!",Belfast,The Father,CODA,Dune,Barb & Star Go to Vista Del Mar,The Green Knight,I Care a Lot,Zack Snyder's Justice League,,,,,
Bad Luck Banging or Loony Porn,The Worst Person in the World,Titane,Petite Maman,Annette,The Hand of God,Happening,The Souvenir Part II,What Do We See When We Look at the Sky?,Memoria,,,,,
Petite Maman,The Power of the Dog,Annette,Drive My Car,Dune,Flee,The Green Knight,Pig,Summer of Soul,Azor,,,,,
Licorice Pizza,The Worst Person in the World,C'mon C'mon,Judas and the Black Messiah,Pig,The Green Knight,The French Dispatch,Summer of Soul,Barb & Star Go to Vista Del Mar,The Souvenir Part II,,,,,
The Power of the Dog,Licorice Pizza,The Green Knight,Drive My Car,The Mitchells vs. The Machines,The Worst Person in the World,Flee,The Last Duel,West Side Story,Malignant,,,,,
PVT Chat,The Souvenir Part II,Malignant,Moxie,Intrusion,Annette,Barb & Star Go to Vista Del Mar,Framing Britney Spears,Red Rocket,Little Fish,,,,,
Malignant,Nightmare Alley,Titane,West Side Story,Pig,The Mitchells vs. The Machines,"tick, tick...BOOM!",The Green Knight,The Night House,House of Gucci,,,,,
Fear Street trilogy,The Mitchells vs. The Machines,"tick, tick...BOOM!",The Suicide Squad,CODA,A Quiet Place Part II,Malignant,Penguin Bloom,Mass,Violet,,,,,
