The Power of the Dog,Pig,Drive My Car,West Side Story,Parallel Mothers,Licorice Pizza,A Hero,Bergman Island,The Green Knight,Passing,,,,,
Drive My Car,A Hero,Bad Luck Banging or Loony Porn,Memoria,Pig,Red Rocket,Licorice Pizza,Wheel of Fortune and Fantasy,The Viewing Booth,The Card Counter,,,,,
Memoria,Drive My Car,The Souvenir Part II,The Power of the Dog,Annette,West Side Story,Bad Luck Banging or Loony Porn,Wheel of Fortune and Fantasy,What Do We See When We Look at the Sky?,El Planeta,,,,,
Licorice Pizza,The Worst Person in the World,Dune,Can't Get You Out of My Head,The Card Counter,The Beatles: Get Back,The Velvet Underground,Bergman Island,Red Rocket,Drive My Car,C'mon C'mon,The Lost Daughter,,,
Drive My Car,Wheel of Fortune and Fantasy,Licorice Pizza,Azor,Benedetta,The Inheritance,Annette,Old,Wife of a Spy,The Power of the Dog,Saint Maud,,,,
Just Don't Think I'll Scream,State Funeral,Wojnarowicz: F--- You F-ggot F---er,The Disciple,"This Is Not a Burial, It's a Resurrection",Days,Wheel of Fortune and Fantasy,The French Dispatch,Film About a Father Who,A Shape of Things to Come,,,,,
Identifying Features,The Souvenir Part II,Flee,Drive My Car,Petite Maman,The Worst Person in the World,A Hero,Parallel Mothers,Limbo,Luca,,,,,
"All Light, Everywhere",The Disciple,The Power of the Dog,In the Same Breath,Titane,Bad Trip,Summer of Soul,C'mon C'mon,The Sparks Brothers,Test Pattern,,,,,
The Worst Person in the World,The Power of the Dog,The Souvenir Part II,Licorice Pizza,Drive My Car,C'mon C'mon,Identifying Features,Procession,The Inheritance,Shiva Baby,,,,,
Drive My Car,Chess of the Wind,The Father,The Worst Person in the World,The Tragedy of Macbeth,Licorice Pizza,Gunda,Bad Luck Banging or Loony Porn,Hope,The Rescue,,,,,
The Disciple,The Green Knight,The Power of the Dog,Drive My Car,Pig,Petite Maman,Limbo,"Quo Vadis, Aida?",Riders of Justice,Nine Days,,,,,
The Power of the Dog,"This Is Not a Burial, It's a Resurrection",Preparations to Be Together for an Unknown Period of Time,Parallel Mothers,Titane,Spencer,The Gaze,Petite Maman,Drive My Car,Pig,,,,,
Nine Days,The Power of the Dog,Summer of Soul,Procession,Judas and the Black Messiah,"Quo Vadis, Aida?",The Green Knight,Identifying Features,In the Heights,Silent Night,,,,,
"This Is Not a Burial, It's a Resurrection",Annette,The Green Knight,Drive My Car,Test Pattern,The Worst Person in the World,Passing,The Power of the Dog,Zola,The French Dispatch,,,,,
Preparations to Be Together for an Unknown Period of Time,The Power of the Dog,Shiva Baby,Parallel Mothers,Passing,Venom: Let There Be Carnage,Spencer,True Mothers,Titane,Pig,,,,,
Summer of Soul,Mass,Benedetta,The French Dispatch,Dune,The Last Duel,Red Rocket,West Side Story,Luzzu,Passing,,,,,
The Green Knight,The Power of the Dog,A Hero,Parallel Mothers,Petite Maman,The Lost Daughter,Bergman Island,7 Prisoners,Sun Children,The Last Duel,,,,,
Summer of Soul,Summertime,In the Heights,The Harder They Fall,Procession,Passing,Wheel of Fortune and Fantasy,Flee,Parallel Mothers,MLK/FBI,,,,,
Memoria,Drive My Car,Malmkrog,Red Rocket,Annette,Licorice Pizza,The Power of the Dog,Pig,Lost Course,West Side Story,,,,,
Licorice Pizza,The Worst Person in the World,Red Rocket,The Souvenir Part II,Judas and the Black Messiah,The Last Duel,The Green Knight,Dune,Bad Trip,The Suicide Squad,,,,,
Drive My Car,The Power of the Dog,The Lost Daughter,Summer of Soul,Judas and the Black Messiah,Licorice Pizza,Stray,Bergman Island,Red Rocket,Nightmare Alley,,,,,
Licorice Pizza,The Power of the Dog,The Green Knight,Spencer,Summer of Soul,Titane,Bo Burnham: Inside,Pig,Riders of Justice,Saint Maud,,,,,
Violation,The Wanting Mare,Titane,Pig,The Medium,The Feast,We're All Going to the World's Fair,Sator,Shiva Baby,Censor,,,,,
West Side Story,Nightmare Alley,Red Rocket,No Time to Die,The Harder They Fall,Licorice Pizza,Benedetta,Attica,The Card Counter,King Richard,,,,,
Belfast,Drive My Car,Flee,Free Guy,I'm Your Man,In the Same Breath,The First Wave,Lily Topples the World,The Power of the Dog,"tick, tick...BOOM!",Writing With Fire,,,,
West Side Story,Petite Maman,The Tragedy of Macbeth,The Power of the Dog,Barb & Star Go to Vista Del Mar,F9: The Fast Saga,Pig,The Worst Person in the World,Procession,Candyman,,,,,
Saint Maud,The Dig,King Richard,Bad Luck Banging or Loony Porn,Nomadland,The Power of the Dog,The White Lotus,Passing,Titane,One Night in Miami,,,,,
The Velvet Underground,Summer of Soul,Procession,Drive My Car,The French Dispatch,The Power of the Dog,Titane,The Harder They Fall,The Last Duel,Holler,,,,,
Annette,Licorice Pizza,Petite Maman,The Souvenir Part II,The Scary of Sixty-First,The Card Counter,Pig,Titane,Drive My Car,Shiva Baby,,,,,
The Green Knight,Petite Maman,Belle,West Side Story,Licorice Pizza,Drive My Car,The Harder They Fall,The Lost Daughter,The Worst Person in the World,Red Rocket,,,,,
The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),Old,Procession,Zeros and Ones,The Village Detective,The World to Come,Oxygen,El Planeta,"All Light, Everywhere",A Crime on the Bayou,,,,,
The Power of the Dog,A Hero,Memoria,Licorice Pizza,Flee,The Green Knight,Petite Maman,The Wor,The Lost Daughter,Pig,,,,,
The Woman in the Window,The Voyeurs,Zola,This American Wife,Memoria,The Power of the Dog,Listening to Kenny G,Days,House of Gucci,Cryptozoo,,,,,
Licorice Pizza,"tick, tick...BOOM!",West Side Story,CODA,The Power of the Dog,The Sparks Brothers,Mass,Summer of Soul,The Humans,Passing,,,,,
Benedetta,Hidden,Days,Drive My Car,Wheel of Fortune and Fantasy,Passing,France,Procession,Test Pattern,The Card Counter,Beginning,,,,
Drive My Car,The Human Voice,Beginning,The Viewing Booth,The Souvenir Part II,Bad Luck Banging or Loony Porn,Shiva Baby,The Velvet Underground,"Quo Vadis, Aida?",Licorice Pizza,,,,,
West Side Story,Another Round,The Power of the Dog,King Richard,Supernova,Promising Young Woman,A Quiet Place Part II,No Time to Die,The Father,Arracht,,,,,
Memoria,Test Pattern,A Hero,Bo Burnham: Inside,Drive My Car,John and the Hole,Can You Bring It: Bill T. Jones and D-Man in the Waters,The Worst Person in the World,Procession,West Side Story,,,,,
Flee,Drive My Car,Nine Days,Bo Burnham: Inside,Summer of Soul,Jockey,Bergman Island,Judas and the Black Messiah,I Carry You With me,Candyman,,,,,
CODA,Mass,Licorice Pizza,Being the Ricardos,In the Heights,Language Lessons,Spencer,Prayers for the Stolen,The Killing of Kenneth Chamberlain,The Mitchells vs. The Machines,,,,,
West Side Story,House of Gucci,Belfast,Don't Look Up,Stillwater,Benedetta,Licorice Pizza,The Last Duel,No Time to Die,F9: The Fast Saga,,,,,
Drive My Car,The Worst Person in the World,Red Rocket,The Power of the Dog,C'mon C'mon,Passing,Dune,Licorice Pizza,The Lost Daughter,Summer of Soul,,,,,
Dune,The Green Knight,The Power of the Dog,Memoria,Drive My Car,The Feast,Pig,Titane,Malignant,Licorice Pizza,,,,,
Barb & Star Go to Vista Del Mar,Dune,Pig,The Worst Person in the World,The Last Duel,The Mitchells vs. The Machines,Bad Luck Banging or Loony Porn,Bad Trip,West Side Story,The Power of the Dog,,,,,
Petite Maman,Memoria,Passing,The Worst Person in the World,Red Rocket,Dune,C'mon C'mon,Licorice Pizza,The Green Knight,The Lost Daughter,,,,,
The Souvenir Part II,Licorice Pizza,West Side Story,C'mon C'mon,Parallel Mothers,Passing,The Power of the Dog,Petite Maman,Great Freedom,Belfast,,,,,
Drive My Car,Petite Maman,The Power of the Dog,The Souvenir Part II,La Civil,Great Freedom,Belfast,Maixabel,The Lost Daughter,Hive,,,,,
Hit the Road,The Lost Daughter,Zola,The Power of the Dog,Azor,Titane,The Souvenir Part II,What Do We See When We Look at the Sky?,Brother's Keeper,The Worst Person in the World,,,,,
A Cop Movie,Il Buco,Playground,The Pink Cloud,What Do We See When We Look at the Sky?,Vortex,Drive My Car,The Souvenir Part II,The Card Counter,Memoria,,,,,
Dune,CODA,The Green Knight,The Last Duel,Shiva Baby,F9: The Fast Saga,Pig,The Mitchells vs. The Machines,West Side Story,Luca,,,,,
Drive My Car,Memoria,Benedetta,Annette,Bad Luck Banging or Loony Porn,The Souvenir Part II,Days,What Do We See When We Look at the Sky?,The Power of the Dog,The Card Counter,,,,,
Belfast,West Side Story,The Power of the Dog,"tick, tick...BOOM!",The French Dispatch,King Richard,Licorice Pizza,Nightmare Alley,Storm Lake,The Mitchells vs. The Machines,,,,,
Petite Maman,Limbo,First Cow,Titane,The Green Knight,Drive My Car,Minari,Summer of Soul,The French Dispatch,Shiva Baby,,,,,
The Power of the Dog,The Velvet Underground,Ema,Red Rocket,Ascension,The Green Knight,Flee,Zola,Final Account,"Quo Vadis, Aida?",,,,,
Drive My Car,Parallel Mothers,Wheel of Fortune and Fantasy,Licorice Pizza,"All Light, Everywhere",Zola,In the Same Breath,The Power of the Dog,Procession,Come True,,,,,
Memoria,Drive My Car,The Worst Person in the World,Wheel of Fortune and Fantasy,Red Rocket,The Souvenir Part II,Parallel Mothers,Bergman Island,Petite Maman,"All Light, Everywhere",,,,,
Days,Labyrinth of Cinema,Memoria,Drive My Car,The Worst Person in the World,The Power of the Dog,Siberia,The Woman Who Ran,Petite Maman,Licorice Pizza,,,,,
Drive My Car,"All Light, Everywhere",The Power of the Dog,Licorice Pizza,Two Lottery Tickets,Wheel of Fortune and Fantasy,Identifying Features,In the Same Breath,Bergman Island,Parallel Mothers,,,,,
Wheel of Fortune and Fantasy,Memoria,Procession,The Power of the Dog,The Worst Person in the World,Days,Undine,Just Don't Think I'll Scream,El Planeta,Azor,,,,,
Petite Maman,The Power of the Dog,Shiva Baby,Bergman Island,The Worst Person in the World,The Velvet Underground,Red Rocket,Wheel of Fortune and Fantasy,There Is No Evil,"All Light, Everywhere",,,,,
Memoria,Red Rocket,The Worst Person in the World,The Scary of Sixty-First,The Fever,"All Light, Everywhere",What Do We See When We Look at the Sky?,The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),The Card Counter,Heard She Got Married,,,,,
The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),Memoria,Licorice Pizza,Drive My Car,About Endlessness,"All Light, Everywhere",Her Socialist Smile,The Souvenir Part II,Two Lottery Tickets,The Card Counter,,,,,
Never Gonna Snow Again,Titane,The Power of the Dog,I'm Your Man,The Green Knight,Bad Tales,Lost Course,Judas and the Black Messiah,Come True,Memory House,,,,,
Titane,Identifying Features,Pig,Drive My Car,Agnes,Zola,Test Pattern,Red Rocket,The Power of the Dog,Bad Trip,,,,,
The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),State Funeral,"This Is Not a Burial, It's a Resurrection",There Is No Evil,Drive My Car,Just Don't Think I'll Scream,Faya Dayi,About Endlessness,Flee,Benedetta,,,,,
Drive My Car,The Disciple,Licorice Pizza,What Do We See When We Look at the Sky?,"All Light, Everywhere",The Power of the Dog,Parallel Mothers,I'm Your Man,A Shape of Things to Come,Wheel of Fortune and Fantasy,,,,,
Memoria,What Do We See When We Look at the Sky?,The Power of the Dog,The French Dispatch,Just Don't Think I'll Scream,Benedetta,The Souvenir Part II,Licorice Pizza,The Two Sights,El Planeta,,,,,
The Mitchells vs. The Machines,Licorice Pizza,Mass,Spencer,"tick, tick...BOOM!",The Harder They Fall,Nightmare Alley,West Side Story,Spider-Man: No Way Home,Barb & Star Go to Vista Del Mar,,,,,
The Green Knight,Dune,Spencer,Drive My Car,Pig,Nightmare Alley,Luca,The Beatles: Get Back,The Power of the Dog,Petite Maman,,,,,
West Side Story,Licorice Pizza,Wild Indian,Pig,The Green Knight,Spencer,The Power of the Dog,Procession,The Last Duel,Annette,,,,,
The Harder They Fall,Bo Burnham: Inside,CODA,West Side Story,"tick, tick...BOOM!",Pig,Swan Song,Procession,Drive My Car,Fear Street trilogy,,,,,
The Power of the Dog,The Suicide Squad,Dune,Zola,The Last Duel,The Green Knight,The Night House,Spider-Man: No Way Home,Malignant,Old,,,,,
Summer of Soul,Licorice Pizza,West Side Story,A Quiet Place Part II,Passing,The Mitchells vs. The Machines,The Dig,Drive My Car,The Worst Person in the World,Spencer,,,,,
West Side Story,Dune,Drive My Car,Nomadland,The Power of the Dog,The French Dispatch,Zola,First Cow,Spencer,The Last Duel,,,,,
Licorice Pizza,Drive My Car,Pig,The Power of the Dog,The Green Knight,Passing,The Lost Daughter,Bo Burnham: Inside,The Card Counter,Titane,,,,,
The Power of the Dog,Pig,The Worst Person in the World,Zola,Licorice Pizza,Red Rocket,Annette,West Side Story,Drive My Car,Barb & Star Go to Vista Del Mar,,,,,
The Power of the Dog,The Worst Person in the World,Summer of Soul,The Souvenir Part II,Parallel Mothers,Passing,The Disciple,C'mon C'mon,The Tragedy of Macbeth,Drive My Car,,,,,
Licorice Pizza,Nomadland,The Father,The Power of the Dog,Summer of Soul,"Quo Vadis, Aida?",Dune,Spencer,No Time to Die,West Side Story,,,,,
Dune,The Suicide Squad,Spider-Man: No Way Home,No Time to Die,Titane,The Green Knight,Drive My Car,The Card Counter,Licorice Pizza,The Power of the Dog,,,,,
The Father,C'mon C'mon,CODA,Pig,The Worst Person in the World,Judas and the Black Messiah,The French Dispatch,Shiva Baby,Last Night in Soho,I Care a Lot,,,,,
The Power of the Dog,Licorice Pizza,Summer of Soul,Drive My Car,Spencer,The Beatles: Get Back,The Velvet Underground,Dune,Flee,Beans,,,,,
Dune,The Green Knight,Nomadland,Sound of Metal,Promising Young Woman,The Father,The Nest,Minari,The Mitchells vs. The Machines,Bo Burnham: Inside,,,,,
Summer of Soul,The Velvet Underground,First Cow,Nomadland,Karen Dalton: In My Own Time,The Sparks Brothers,A Cop Movie,Gunda,New Order,The French Dispatch,,,,,
Dune,The Green Knight,Licorice Pizza,The Power of the Dog,Red Rocket,The Beatles: Get Back,Titane,The Worst Person in the World,Barb & Star Go to Vista Del Mar,F9: The Fast Saga,Pig,A Quiet Place Part II,,,
The Green Knight,Licorice Pizza,Dune,Red Rocket,The French Dispatch,The White Tiger,Benedetta,Titane,Bad Luck Banging or Loony Porn,The Eyes of Tammy Faye,,,,,
CODA,West Side Story,King Richard,Belfast,House of Gucci,Don't Look Up,The Last Duel,Last Night in Soho,Billie Eilish: The World's a Little Blurry,Barb & Star Go to Vista Del Mar,,,,,
Spencer,The Father,The Green Knight,"tick, tick...BOOM!",The Power of the Dog,Drive My Car,CODA,West Side Story,Spider-Man: No Way Home,Licorice Pizza,,,,,
The Worst Person in the World,Drive My Car,The Power of the Dog,C'mon C'mon,Flee,The Souvenir Part II,The Humans,Mass,The Green Knight,Bergman Island,,,,,
Jockey,The French Dispatch,Dune,The Lost Daughter,Nightmare Alley,The Worst Person in the World,Cyrano,Judas and the Black Messiah,Licorice Pizza,The Killing of Two Lovers,,,,,
Spencer,House of Gucci,The Beatles: Get Back,Drive My Car,Cruella,Zola,King Richard,Zack Snyder's Justice League,CODA,Parallel Mothers,,,,,
Bergman Island,The Worst Person in the World,The Lost Daughter,Procession,The Power of the Dog,The Viewing Booth,The Souvenir Part II,Wheel of Fortune and Fantasy,Licorice Pizza,West Side Story,,,,,
Faya Dayi,The Worst Person in the World,Wheel of Fortune and Fantasy,The Gaze,Drive My Car,"This Is Not a Burial, It's a Resurrection",The Lost Daughter,C'mon C'mon,Bergman Island,Petite Maman,,,,,
Annette,"This Is Not a Burial, It's a Resurrection",The Power of the Dog,Drive My Car,Flee,Pig,Can You Bring It: Bill T. Jones and D-Man in the Waters,Holler,The Worst Person in the World,In the Heights,,,,,
The Lost Daughter,Bad Luck Banging or Loony Porn,The Worst Person in the World,West Side Story,Petite Maman,Drive My Car,Pig,Dune,The Disciple,Bad Trip,,,,,
West Side Story,The Power of the Dog,The Velvet Underground,Saint-Narcisse,Wojnarowicz: F--- You F-ggot F---er,Benedetta,Swan Song,In the Heights,Ailey,"tick, tick...BOOM!",,,,,
Belfast,Spider-Man: No Way Home,Licorice Pizza,The French Dispatch,Cry Macho,Tragedy of Macbeth,Cruella,No Time to Die,Encanto,West Side Story,,,,,
The Power of the Dog,"tick, tick...BOOM!",No Time to Die,Dune,Nomadland,The Last Duel,No Sudden Move,Free Guy,Luca,Promising Young Woman,,,,,
The Power of the Dog,Judas and the Black Messiah,Mass,Flee,West Side Story,Pig,CODA,The Green Knight,The Mitchells vs. The Machines,The Suicide Squad,,,,,
Wheel of Fortune and Fantasy,Drive My Car,Shadow Kingdom,The Power of the Dog,Annette,Cry Macho,Benedetta,The Souvenir Part II,In Front of Your Face,Faya Dayi,,,,,
The Power of the Dog,Red Rocket,Licorice Pizza,Annette,Memoria,France,Benedetta,The Killing of Two Lovers,Titane,Passing,The Lost Daughter,,,,
Licorice Pizza,Parallel Mothers,West Side Story,Limbo,The Worst Person in the World,Petite Maman,Luca,Memoria,Barb & Star Go to Vista Del Mar,Swan Song,,,,,
The Power of the Dog,Dune,CODA,Nightmare Alley,Summer of Soul,In the Heights,Spider-Man: No Way Home,Licorice Pizza,Attica,Shang-Chi and the Legend of the Ten Rings,,,,,
The Power of the Dog,Sound of Metal,Dune,The Father,No Time to Die,Minari,Promising Young Woman,Another Round,Nomadland,The Lost Daughter,,,,,
Pig,The Green Knight,The Power of the Dog,The Mitchells vs. The Machines,Luca,Bo Burnham: Inside,Dune,The French Dispatch,The Suicide Squad,Flee,,,,,
