Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,,,,,,
J.R. Jones,White God,99 Homes,Spotlight,Maps to the Stars,Queen and Country,Court,Mommy,About Elly,Youth,Results,,,,,,
Ben Sachs,Fish and Cat,Inherent Vice,Eden,Blackhat,Love Battles,Hard to Be a God,Mad Max: Fury Road,Goodbye to Language,The Office,Nasty Baby,,,,,,
Richard Roeper,Room,Inside Out,The Revenant,The Big Short,Mad Max: Fury Road,The Hateful Eight,Sicario,Spotlight,Star Wars: The Force Awakens,Straight Outta Compton,,,,,,
Michael Phillips,Spotlight,Anomalisa,Love & Mercy,The Diary of a Teenage Girl,Son of Saul,Carol,Beasts of No Nation,Creed,Heart of a Dog,Tangerine,,,,,,
Peter Rainer,Brooklyn,Seymour: An Introduction,In Jackson Heights,Room,Listen to Me Marlon,Gett: The Trial of Viviane Amsalem,When Marnie Was There,Ex Machina,The Lady in the Van,Anomalisa,,,,,,
Glenn Lovell,Spotlight,Beasts of No Nation,Creed,Brooklyn,Mad Max: Fury Road,Trainwreck,Sicario,Bone Tomahawk,The Hateful Eight,Ex Machina,Star Wars: The Force Awakens,,,,,
CineVue,Carol,45 Years,Son of Saul,Mad Max: Fury Road,Spotlight,The Club,Sunset Song,The Assassin,Anomalisa,Sicario,,,,,,
Troy L. Smith,Mad Max: Fury Road,Spotlight,It Follows,Star Wars: The Force Awakens,The Big Short,Sicario,Creed,Me and Earl and the Dying Girl,Inside Out,Beasts of No Nation,,,,,,
Chris Cabin,Arabian Nights,In Jackson Heights,Li’l Quinquin,Queen of Earth,Timbuktu,Heaven Knows What,Hard to Be a God,Carol,The Assassin,Results,,,,,,
Adam Chitwood,Sicario,Spotlight,Mad Max: Fury Road,Carol,Ex Machina,Brooklyn,The Big Short,Steve Jobs,Love & Mercy,Mission: Impossible - Rogue Nation,,,,,,
Brian Formo,Carol,Mad Max: Fury Road,Arabian Nights,Jafar Panahi's Taxi [aka Taxi Tehran],Mistress America,The Diary of a Teenage Girl,Clouds of Sils Maria,Magic Mike XXL,45 Years,Creed,,,,,,
Haleigh Foutch,Ex Machina,Mad Max: Fury Road,The Diary of a Teenage Girl,Spotlight,Tangerine,The Final Girls,Creed,The Hateful Eight,The Martian,The Big Short,,,,,,
Matt Goldberg,Spotlight,Mad Max: Fury Road,Anomalisa,Ex Machina,Brooklyn,Inside Out,Son of Saul,Creed,Mission: Impossible - Rogue Nation,Finders Keepers,,,,,,
Perri Nemiroff,Mad Max: Fury Road,Room,Brooklyn,Star Wars: The Force Awakens,It Follows,Inside Out,Sicario,Spy,The Hunger Games: Mockingjay - Part 2,Chappie,,,,,,
Consequence of Sound,Mad Max: Fury Road,The Look of Silence,Inside Out,Sicario,The Revenant,Call Me Lucky,Tangerine,It Follows,Entertainment,Creed,,,,,,
William Bibbiani,Mad Max: Fury Road,The Look of Silence,The Boy and the Beast,Blind,The End of the Tour,Anomalisa,The Voices,The Duke of Burgundy,The Walk,Spotlight,,,,,,
Marlow Stern,Mad Max: Fury Road,Inside Out,Carol,The Hateful Eight,Timbuktu,Phoenix,Ex Machina,Amy,Love & Mercy,The Revenant,,,,,,
Calum Marsh,Mad Max: Fury Road,Mistress America,Hard to Be a God,Carol,The Forbidden Room,Arabian Nights,Jauja,Queen of Earth,Listen to Me Marlon,Unfriended,,,,,,
Tom Long,Brooklyn,Youth,The Diary of a Teenage Girl,James White,Inside Out,Spotlight,Mistress America,Mommy,Room,Tangerine,,,,,,
Den of Geek [UK],Mad Max: Fury Road,Inside Out,Ex Machina,Sicario,The Martian,Star Wars: The Force Awakens,Whiplash,Chappie,The Gift,It Follows,,,,,,
David Crow,Room,Brooklyn,Steve Jobs,Spotlight,Inside Out,Ex Machina,The Revenant,Mad Max: Fury Road,The Hateful Eight,Clouds of Sils Maria,,,,,,
Don Kaye,Spotlight,Mad Max: Fury Road,99 Homes,Creed,Ex Machina,Love & Mercy,Inside Out,Steve Jobs,Amy,Room,,,,,,
Digital Spy,Inside Out,Whiplash,Mad Max: Fury Road,Star Wars: The Force Awakens,The Martian,Amy,It Follows,Brooklyn,Steve Jobs,Ex Machina,,,,,,
Empire,Mad Max: Fury Road,Whiplash,Inside Out,Ex Machina,Star Wars: The Force Awakens,Sicario,Steve Jobs,The Martian,It Follows,Carol,,,,,,
Chris Nashawaty,Spotlight,Sicario,Room,The Look of Silence,Inside Out,Creed,Son of Saul,Carol,The Big Short,It Follows,,,,,,
Rob Hunter,Spotlight,Youth,Sicario,Blind,Mad Max: Fury Road,The Martian,About Elly,The Look of Silence,Steve Jobs,Wildlike,,,,,,
The Film Stage,Mad Max: Fury Road,Carol,Spotlight,Phoenix,Ex Machina,Son of Saul,Hard to Be a God,Clouds of Sils Maria,Chi-Raq,Sicario,,,,,,
Jason Bailey,Brooklyn,Spotlight,Carol,The Diary of a Teenage Girl,Mad Max: Fury Road,Anomalisa,Steve Jobs,Girlhood,Room,Ex Machina,,,,,,
Cary Darling,Spotlight,Ex Machina,Sicario,The Revenant,Love & Mercy,Mad Max: Fury Road,About Elly,Carol,Straight Outta Compton,The Big Short,,,,,,
Rick Bentley,Spotlight,He Named Me Malala,Inside Out,Carol,Sicario,Brooklyn,Youth,Room,Me and Earl and the Dying Girl,Star Wars: The Force Awakens,,,,,,
Ian Sandwell,Mad Max: Fury Road,Inside Out,Star Wars: The Force Awakens,Sicario,Ex Machina,The Revenant,Carol,Creed,It Follows,The Martian,,,,,,
The Guardian,Son of Saul,45 Years,The Revenant,Anomalisa,Bridge of Spies,The Look of Silence,Carol,Amy,Joy,Mistress America,,,,,,
Drew McWeeny (Motion Captured),Anomalisa,Mad Max: Fury Road,Room,Creed,Call Me Lucky,Ex Machina,Brooklyn,The Hateful Eight,Star Wars: The Force Awakens,Beasts of No Nation,,,,,,
Todd McCarthy,The Tribe,Brooklyn,Son of Saul,The Revenant,The Diary of a Teenage Girl,Anomalisa,Mad Max: Fury Road,Seymour: An Introduction,45 Years,Carol,,,,,,
Borys Kit,Mad Max: Fury Road,Inside Out,Ex Machina,Mission: Impossible - Rogue Nation,Star Wars: The Force Awakens,It Follows,Bone Tomahawk,Ant-Man,What We Do in the Shadows,The Martian,Paddington,,,,,
Scott Feinberg,Brooklyn,The Hateful Eight,Spotlight,Mustang,45 Years,Room,99 Homes,Far From the Madding Crowd,Straight Outta Compton,Love & Mercy,,,,,,
Matthew Jacobs,Carol,Mad Max: Fury Road,Brooklyn,Inside Out,The Big Short,Room,Star Wars: The Force Awakens,Tangerine,Ex Machina,The Martian,,,,,,
Kate Erbland,Spotlight,Brooklyn,Carol,Mad Max: Fury Road,Anomalisa,Ex Machina,Creed,The Revenant,Mistress America,The Diary of a Teenage Girl,,,,,,
Eric Kohn,Son of Saul,Tangerine,Heaven Knows What,A Pigeon Sat on a Branch Reflecting on Existence,Buzzard,Mad Max: Fury Road,Anomalisa,Jafar Panahi's Taxi [aka Taxi Tehran],Heart of a Dog,Carol,,,,,,
Liz Shannon Miller,Mad Max: Fury Road,Room,Creed,Spotlight,The Martian,Magic Mike XXL,Brooklyn,The Walk,Welcome to Me,Trainwreck,,,,,,
Ben Travers,Mad Max: Fury Road,Brooklyn,Anomalisa,Creed,Sicario,Steve Jobs,Ex Machina,Inside Out,Spotlight,The Voices,,,,,,
Nicholas Bell,Hard to Be a God,Tangerine,The Duke of Burgundy,The Forbidden Room,Alleluia,Clouds of Sils Maria,Mad Max: Fury Road,Phoenix,The Revenant,45 Years,Welcome to New York,,,,,
David Hudson,The Assassin,Carol,Inherent Vice,Jafar Panahi's Taxi [aka Taxi Tehran],Cemetery Of Splendour,Mad Max: Fury Road,The Look of Silence,45 Years,Victoria,The Forbidden Room,,,,,,
Kevin B. Lee,Horse Money,The Assassin,Hard to Be a God,Jafar Panahi's Taxi [aka Taxi Tehran],The Look of Silence,The Pearl Button,Timbuktu,Chi-Raq,Stinking Heaven,Field Niggas,,,,,,
Amy Nicholson,Chi-Raq,Anomalisa,The Hateful Eight,American Ultra,Mad Max: Fury Road,Room,Victoria,Spy,The Second Mother,Tangerine,,,,,,
Josh Bell,Mistress America,Far From the Madding Crowd,Carol,While We're Young,It Follows,Unfriended,Ex Machina,The Diary of a Teenage Girl,Mustang,Spotlight,,,,,,
L. Kent Wolgamott,Spotlight,Mad Max: Fury Road,Love & Mercy,Inside Out,The End of the Tour,Heart of a Dog,Steve Jobs,Ex Machina,Straight Outta Compton,Tangerine,,,,,,
Little White Lies,Carol,Sunset Song,The Look of Silence,Taxi Tehran,Timbuktu,Selma,Eden,Mad Max: Fury Road,Horse Money,The Voices,,,,,,
Mark Olsen,Mad Max: Fury Road,Carol,Tangerine,Ex Machina,The Assassin,The Diary of a Teenage Girl,Creed,While We're Young,Chi-Raq,Results,,,,,,
Brian D. Johnson,The Look of Silence,The Big Short,Meru,Timbuktu,Sicario,Son of Saul,Salt of the Earth,Rams,Spotlight,Bridge of Spies,,,,,,
Marc Doyle (Editor-in-Chief),It Follows,Amy,Spotlight,Mad Max: Fury Road,Room,The Big Short,Sicario,The Gift,Grandma,Brooklyn,,,,,,
Rebecca Lewis,Mad Max: Fury Road,Whiplash,Ex Machina,Star Wars: The Force Awakens,Brooklyn,The Martian,Inside Out,Carol,Suffragette,Macbeth,,,,,,
Matt Prigge,Mad Max: Fury Road,The Mend,World of Tomorrow,Magic Mike XXL,Saint Laurent,Eden,Experimenter,Heaven Knows What,Carol,The Look of Silence,,,,,,
Connie Ogle,Carol,Mad Max: Fury Road,Brooklyn,Spotlight,Girlhood,The Hateful Eight,Mistress America,Room,Clouds of Sils Maria,Love & Mercy,,,,,,
Rene Rodriguez,Carol,Mad Max: Fury Road,Spotlight,The Revenant,Sicario,Crimson Peak,Creed,White God,The Hateful Eight,The Duke of Burgundy,,,,,,
David Ehrlich  Watch video countdown,Carol,World of Tomorrow,Phoenix,The Look of Silence,A Pigeon Sat on a Branch Reflecting on Existence,The Duke of Burgundy,Eden,"Kumiko, The Treasure Hunter",Mistress America,Mad Max: Fury Road,,,,,,
Christy Lemire,Mad Max: Fury Road,Spotlight,Ex Machina,Room,Carol,45 Years,Inside Out,Goodnight Mommy,Tangerine,The Martian,,,,,,
Lisa Schwarzbaum,Inside Out,Spotlight,Carol,Mad Max: Fury Road,45 Years,The Diary of a Teenage Girl,Spy,99 Homes,Timbuktu,Son of Saul,,,,,,
Ray Pride,Carol,Anomalisa,Jafar Panahi's Taxi [aka Taxi Tehran],It Follows,The Mend,Mad Max: Fury Road,Phoenix,Ex Machina,Hard to Be a God,Heaven Knows What,,,,,,
Movie Mezzanine,Mad Max: Fury Road,Tangerine,Carol,Mistress America,45 Years,Magic Mike XXL,The Look of Silence,Brooklyn,Timbuktu,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,
Roger Moore,Suffragette,Spotlight,The Revenant,99 Homes,Amy,Ex Machina,Tangerine,The Big Short,Mad Max: Fury Road,Best of Enemies,,,,,,
MTV News staff,Furious 7,Straight Outta Compton,Dope,Mad Max: Fury Road,Creed,Inside Out,Amy,Tangerine,Jurassic World,Sicario,,,,,,
Mike Scott,Spotlight,Room,Carol,Inside Out,Mad Max: Fury Road,The Revenant,Star Wars: The Force Awakens,Brooklyn,The Martian,Black Mass,,,,,,
Will Leitch,Timbuktu,Mad Max: Fury Road,Anomalisa,Results,The Martian,Carol,The Tribe,Ex Machina,Brooklyn,The Nightmare,,,,,,
Rex Reed,Spotlight,Carol,Brooklyn,Room,The Danish Girl,Labyrinth of Lies,Truth,I'll See You in My Dreams,45 Years,Bridge of Spies,,,,,,
Lou Lumenick,Spotlight,Anomalisa,Inside Out,Creed,Mad Max: Fury Road,Bridge of Spies,Room,Love & Mercy,Straight Outta Compton,45 Years,Grandma,Youth,The Martian,Trumbo,Carol,The Danish Girl
Kyle Smith,Mad Max: Fury Road,The End of the Tour,Sunshine Superman,Sicario,Me and Earl and the Dying Girl,Love & Mercy,Anomalisa,Youth,Going Clear: Scientology and the Prison of Belief,Spotlight,,,,,,
Sara Stewart,Mad Max: Fury Road,Spotlight,Straight Outta Compton,Spy,Trainwreck,Tangerine,The Danish Girl,Ex Machina,Love & Mercy,The Diary of a Teenage Girl,It Follows,,,,,
Manohla Dargis,The Assassin AND Mad Max: Fury Road,Luminous Intimacy: The Cinema of Nathaniel Dorsky and Jerome Hiler (retrospective),Bridge of Spies,Carol,In Jackson Heights,The Martian,The Kindergarten Teacher,The Diary of a Teenage Girl,The Big Short,Sixty Six,,,,,,
Stephen Holden,Carol,The Big Short,Spotlight,The Fool,The Diary of a Teenage Girl,The Look of Silence,Truth,45 Years,Tangerine,Brooklyn,,,,,,
A.O. Scott,Timbuktu,Inside Out,The Big Short,Spotlight,Heart of a Dog,Anomalisa,Carol,Jafar Panahi's Taxi [aka Taxi Tehran],Out 1: Noli Me Tangere,Mad Max: Fury Road,Creed,Results,Welcome to Me,,,
Richard Brody,Chi-Raq,Li’l Quinquin,Queen of Earth,Heaven Knows What,Jafar Panahi's Taxi [aka Taxi Tehran],Timbuktu,In Jackson Heights,Mistress America,Stinking Heaven,Arabian Nights,,,,,,
Rafer Guzman,Inside Out,Clouds of Sils Maria,The Revenant,Mad Max: Fury Road,Amy,In the Heart of the Sea,The Stanford Prison Experiment,Anomalisa,When Marnie Was There,The Tribe,,,,,,
Norman Wilner,The Disappearance Of Eleanor Rigby,The Look of Silence,Mad Max: Fury Road,The Mend,Amy,Timbuktu,A Girl Walks Home Alone at Night,The Assassin,The Big Short,Paddington,,,,,,
Ben Barna,Carol,Mad Max: Fury Road,Ex Machina,Inside Out,The Diary of a Teenage Girl,The Martian,Tangerine,Dope,It Follows,Going Clear: Scientology and the Prison of Belief,,,,,,
Mark Kermode,Inside Out,A Girl Walks Home Alone at Night,Girlhood,Carol,The Falling,Song of the Sea,Brooklyn,Sunset Song,The Ecstasy of Wilko Johnson,The Tale of the Princess Kaguya,,,,,,
Micah Mertes,Mad Max: Fury Road,Sicario,The Hateful Eight,The Look of Silence,Creed,Inside Out,Phoenix,It Follows,Tangerine,Bridge of Spies,,,,,,
Jeff Baker,Mad Max: Fury Road,Carol,Spotlight,The Revenant,Mr. Turner,The Big Short,Brooklyn,Room,Inside Out,The End of the Tour,,,,,,
Dennis Dermody,Carol,Wild Tales,Anomalisa,It Follows,Clouds of Sils Maria,Tangerine,Saint Laurent,Goodnight Mommy,The Wolfpack,The Forbidden Room,,,,,,
Sean Axmaker,Clouds of Sils Maria,Carol,Phoenix,Jafar Panahi's Taxi [aka Taxi Tehran],Mad Max: Fury Road,Spotlight,45 Years,Mustang,Jauja,Ex Machina,,,,,,
John Hartl,45 Years,Spotlight,Brooklyn,Sicario,Trumbo,Carol,Ex Machina,Bridge of Spies,Inside Out,99 Homes,,,,,,
Richard T. Jameson,It Follows,Clouds of Sils Maria,Spotlight,Bridge of Spies,Room,The Assassin,45 Years,Son of Saul,Jauja,Me and Earl and the Dying Girl,,,,,,
Jay Kuehner,The Assassin,Carol,Horse Money,Jauja,The Kindergarten Teacher,Heaven Knows What,The Wonders,Arabian Nights,Phoenix,,,,,,,
Bruce Reid,Experimenter,Taxi,It Follows,The Hateful Eight,Welcome to New York,Blackhat,Clouds of Sils Maria,Timbuktu,Queen and Country,Maps to the Stars,,,,,,
Andrew Wright,Mad Max: Fury Road,Blackhat,Carol,The Hateful Eight,It Follows,Bridge of Spies,Tangerine,Bone Tomahawk,Creed,Sicario,,,,,,
Paste,Chi-Raq,Cartel Land,The Tribe,White God,Gett: The Trial of Viviane Amsalem,The End of the Tour,Anomalisa,Time Out of Mind,Mad Max: Fury Road,Mistress America,,,,,,
Alynda Wheat,The Big Short,Spotlight,The Revenant,Mad Max: Fury Road,Room,The Martian,Carol,Creed,Sicario,Brooklyn,,,,,,
Barbara Vancheri,Spotlight,The Martian,Room,Inside Out,Me and Earl and the Dying Girl,Brooklyn,Black Mass,Bridge of Spies,The Revenant,The Big Short,,,,,,
Nikola Grozdanovic,The Assassin,The Duke of Burgundy,Mad Max: Fury Road,45 Years,Hard to Be a God,The Forbidden Room,Carol,Jauja,A Pigeon Sat on a Branch Reflecting on Existence,Arabian Nights,,,,,,
Jessica Kiang,45 Years,The Lobster,The Club,Carol,Eden,Mad Max: Fury Road,Anomalisa,Queen of Earth,Spotlight,Listen to Me Marlon,,,,,,
Oktay Ege Kozak,Room,Spotlight,The Walk,The Good Dinosaur,Mad Max: Fury Road,The Big Short,Inside Out,Creed,The Duke of Burgundy,Tangerine,,,,,,
Nicholas Laskin,The Lobster,Carol,Spotlight,Room,Star Wars: The Force Awakens,Mistress America,Sicario,Queen of Earth,Inside Out,Mad Max: Fury Road,,,,,,
Oliver Lyttelton,The Lobster,45 Years,Carol,Mad Max: Fury Road,Inside Out,The Diary of a Teenage Girl,Phoenix,Cemetery Of Splendour,The Duke of Burgundy,Ex Machina,,,,,,
Erik McClanahan,The Revenant,World of Tomorrow,Sicario,Inside Out,Ex Machina,The Duke of Burgundy,Tangerine,James White,Mad Max: Fury Road,The Tribe,,,,,,
Kimber Myers,Brooklyn,Mustang,The Diary of a Teenage Girl,45 Years,Mad Max: Fury Road,Wild Tales,It Follows,Far From the Madding Crowd,Ex Machina,The End of the Tour,,,,,,
Rodrigo Perez,45 Years,Brooklyn,Sicario,Spotlight,Carol,Li’l Quinquin,Steve Jobs,Mustang,Mistress America,Anomalisa,,,,,,
Katie Walsh,Mad Max: Fury Road,Mustang,Son of Saul,Room,Breathe,Spotlight,Macbeth,Mistress America,Cartel Land,Carol,,,,,,
James Berardinelli,The Hateful Eight,The Martian,Spotlight,Carol,The Big Short,Sicario,Inside Out,The Revenant,Creed,Mad Max: Fury Road,,,,,,
Reverse Shot,In Jackson Heights,Carol,The Assassin,Clouds of Sils Maria,Timbuktu,Hard to Be a God,Arabian Nights,The Look of Silence,Eastern Boys,Horse Money,,,,,,
Nick Allen,The Big Short,Entertainment,Mad Max: Fury Road,Anomalisa,Son of Saul,James White,Amy,Carol,Beasts of No Nation,Call Me Lucky,,,,,,
Steven Boone,Timbuktu,Horse Money,"What Happened, Miss Simone?",Sicario,About Elly,The Grief of Others,The Duke of Burgundy,Tangerine,Listen to Me Marlon,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,
Danny Bowes,Carol,Magic Mike XXL,The Forbidden Room,Mad Max: Fury Road,Timbuktu,The Russian Woodpecker,Creed,Blackhat,Tangerine,Straight Outta Compton,,,,,,
Monica Castillo,Mad Max: Fury Road,Tangerine,Creed,Carol,Brooklyn,The Mend,Girlhood,Magic Mike XXL,The Duke of Burgundy,Eden,,,,,,
Godfrey Cheshire,The End of the Tour,Love & Mercy,Where to Invade Next,Bridge of Spies,Truth,99 Homes,Güeros,Tangerine,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,,
Seongyong Cho,Mad Max: Fury Road,Phoenix,The Martian,Timbuktu,Ex Machina,A Pigeon Sat on a Branch Reflecting on Existence,Bridge of Spies,99 Homes,Wild Tales,It Follows,,,,,,
Brian Doan,Love & Mercy,Ex Machina,Inside Out,Mad Max: Fury Road,Tangerine,Phoenix,Bridge of Spies,The Mend,Girlhood,Blackhat,Dope,,,,,
Mark Dujsik,Spotlight,Inside Out,Brooklyn,Matt Shepard is a Friend of Mine,The Look of Silence,Mad Max: Fury Road,Mustang,It Follows,About Elly,Bridge of Spies,,,,,,
Steven Erickson,The Assassin,Jauja,Tangerine,Mad Max: Fury Road,It Follows,About Elly,The Iron Ministry,The Wonders,Chi-Raq,In Jackson Heights,,,,,,
Matt Fagerholm,The Diary of a Teenage Girl,Inside Out,Anomalisa,Almost There,Keeper,Son of Saul,James White,Star Wars: The Force Awakens,Youth,Gett: The Trial of Viviane Amsalem,,,,,,
Noah Gittell,Brooklyn,The Look of Silence,Magic Mike XXL,45 Years,Spotlight,Slow West,Mommy,Carol,Clouds of Sils Maria,Mistress America,,,,,,
Tina Hassannia,Mad Max: Fury Road,Tangerine,Mistress America,Brooklyn,Arabian Nights,Clouds of Sils Maria,Timbuktu,Jafar Panahi's Taxi [aka Taxi Tehran],Buzzard,Listen to Me Marlon,,,,,,
Odie Henderson,Creed,Brooklyn,Inside Out,Straight Outta Compton,Call Me Lucky,Mad Max: Fury Road,Tangerine,Spotlight,Chi-Raq,The Walk,,,,,,
Ben Kenigsberg,Phoenix,Buzzard,Carol,Heaven Knows What,Approaching the Elephant,In Jackson Heights,The Assassin,The Hateful Eight,We Come As Friends,Tangerine,,,,,,
Glenn Kenny,Hard to Be a God,Anomalisa,Girlhood,Horse Money,Mad Max: Fury Road,Heart of a Dog,Heaven Knows What,Brooklyn,The Hateful Eight,Shaun the Sheep Movie,,,,,,
Patrick McGavin,The Assassin,Clouds of Sils Maria,Horse Money,Carol,Jauja,Experimenter,Brooklyn,Arabian Nights,Phoenix,Queen of Earth,,,,,,
Sheila O'Malley,About Elly,Clouds of Sils Maria,Girlhood,Magic Mike XXL,Mad Max: Fury Road,Phoenix,Creed,By the Sea,Jafar Panahi's Taxi [aka Taxi Tehran],Brooklyn,,,,,,
Michal Oleszczyk,It Follows,Inside Out,Eastern Boys,The Wonders,Creed,"Something, Anything",Brooklyn,Mad Max: Fury Road,Jauja,The Spongebob Movie: Sponge Out of Water,,,,,,
Matt Zoller Seitz,Gett: The Trial of Viviane Amsalem,In Jackson Heights,Listen to Me Marlon,Chi-Raq,The Look of Silence,Mad Max: Fury Road,Horse Money,Creed,Mission: Impossible: Rogue Nation,Ex Machina,,,,,,
Peter Sobczynski,Mad Max: Fury Road,The Hateful Eight,Bridge of Spies,Anomalisa,Spotlight,Inside Out,It Follows,The New Girlfriend,The Ocean of Helena Lee,Ex Machina,,,,,,
Collin Souter,Mad Max: Fury Road,Inside Out,Spotlight,Cartel Land,Star Wars: The Force Awakens,The End of the Tour,The World of Tomorrow,Brooklyn,Slow West,Goodnight Mommy,,,,,,
Scout Tafoya,Chi-Raq,Carol,The Assassin,The Grief of Others,45 Years,Mad Max: Fury Road,Blackhat,Crimson Peak,Experimenter,Mississippi Grind,,,,,,
