Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,,,,,,,,,,,,
Peter Rainer,A Separation,Of Gods and Men,Like Crazy,Cave of Forgotten Dreams,The Descendants,Into the Abyss,Win Win,Certified Copy,Rejoice and Shout,"Tinker, Tailor, Soldier, Spy ",,,,,,,,,,,,
Clint O'Connor,Margin Call,A Dangerous Method,Shame,The Tree of Life,Poetry,The Help,The Descendants,"Harry Potter and the Deathly Hallows, Part 2",Another Earth,Bill Cunningham New York,,,,,,,,,,,,
Lisa Kennedy,Moneyball,The Tree of Life,Martha Marcy May Marlene,Extremely Loud & Incredibly Close,The Descendants,Bridesmaids,Beginners,A Separation,Hugo,Nostalgia for the Light ,,,,,,,,,,,,
Empire,Drive,Senna,The King's Speech,"Harry Potter and the Deathly Hallows, Part 2",The Artist,"Tinker, Tailor, Soldier, Spy",True Grit,Bridesmaids,Rise of the Planet of the Apes,Black Swan,,,,,,,,,,,,
Owen Gleiberman,The Tree of Life,The Descendants,Bridesmaids,A Separation,The Girl with the Dragon Tattoo,Beginners,Rampart,"Crazy, Stupid, Love",The Trip,Mission: Impossible-Ghost Protocol ,,,,,,,,,,,,
Lisa Schwarzbaum,Melancholia,Bridesmaids,The Artist,Hugo,A Separation,The Descendants,Pina,Moneyball,The Interrupters,Beginners ,,,,,,,,,,,,
Film School Rejects,Drive,Being Elmo: A Puppeteer's Journey,Attack the Block,Rango,Submarine,Legend of the Fist: The Return of Chen Zhen,Moneyball,Rise of the Planet of the Apes,Take Shelter,Captain America: The First Avenger ,,,,,,,,,,,,
The Globe and Mail,The Artist,Hugo,Le Havre,Meek's Cutoff,Melancholia,Poetry,Shame,Take Shelter,"Tinker, Tailor, Soldier, Spy",The Tree of Life,,,,,,,,,,,,
Peter Bradshaw,The Artist,Margaret,A Separation,"Tinker, Tailor, Soldier, Spy",Poetry,The Tree of Life,Le Quattro Volte,We Need to Talk About Kevin,The Skin I Live In,Bridesmaids,,,,,,,,,,,,
Gregory Ellwood,Shame,Drive,"Tinker, Tailor, Soldier, Spy",Like Crazy,The Descendants,Beginners,The Tree of Life,"Harry Potter and the Deathly Hallows, Part 2",Melancholia,Weekend ,,,,,,,,,,,,
Guy Lodge,Weekend,Margaret,Drive,Martha Marcy May Marlene,Alps,Tomboy,Damsels in Distress,We Need to Talk About Kevin,Elena,Wuthering Heights,,,,,,,,,,,,
Kristopher Tapley,Margaret,The Tree of Life,Drive,Rampart,Shame,Martha Marcy May Marlene,A Separation,The Adventures of Tintin,Take Shelter,Rango ,,,,,,,,,,,,
Drew McWeeny,Melancholia,Miss Bala,We Need to Talk About Kevin,Bellflower,Take This Waltz,Drive,Young Adult,Attack the Block,The Skin I Live In,Warrior ,,,,,,,,,,,,
Marshall Fine,The Descendants,Drive,Shame,Incendies,The Artist,Moneyball,Margin Call,Martha Marcy May Marlene,A Separation,Young Adult ,,,,,,,,,,,,
Scott Feinberg,The Artist,War Horse,Moneyball,Margin Call,The Ides of March,Shame,The Whistleblower,The Skin I Live In,Pariah,Like Crazy,,,,,,,,,,,,
Todd McCarthy,The Descendants,A Dangerous Method,The Tree of Life,City of Life and Death,A Separation,Hugo,Le Quattro Volte,"Tuesday, After Christmas",Poetry,Shame ,,,,,,,,,,,,
Amy Biancolli,The Artist,Midnight in Paris,The Descendants,Bill Cunningham New York,"Harry Potter and the Deathly Hallows, Part 2",The Illusionist,Nostalgia for the Light,Of Gods and Men,The Adventures of Tintin,Take Shelter,,,,,,,,,,,,
IndieWire,Melancholia,Meek's Cutoff,Le Havre,Take Shelter,Uncle Boonmee Who Can Recall His Past Lives,Beginners,A Separation,Cold Weather,Le Quattro Volte,Nostalgia for the Light ,,,,,,,,,,,,
Anne Thompson,Pina,Weekend,Melancholia,The Descendants,Rise of the Planet of the Apes,I Saw the Devil,A Dangerous Method,Jane Eyre,Win Win,Take Shelter ,,,,,,,,,,,,
Betsy Sharkey,The Descendants,City of Life and Death,"Tinker, Tailor, Soldier, Spy",Beginners,Drive,Melancholia,Moneyball,Martha Marcy May Marlene,The Help,Young Adult ,,,,,,,,,,,,
Kenneth Turan,The Clock [his #1 film of the year, all others in alphabetical order],The Artist,City of Life and Death,Like Crazy,Midnight in Paris,Of Gods and Men,Poetry,A Separation,"Tinker, Tailor, Soldier, Spy",Win Win ,,,,,,,,,,,
Marc Doyle,13 Assassins,The Descendants,Of Gods and Men,Bellflower,Moneyball,The Trip,The Skin I Live In,Martha Marcy May Marlene,The Artist,Drive,,,,,,,,,,,,
Rene Rodriguez,Moneyball,Melancholia,A Separation,The Tree of Life,War Horse,Martha Marcy May Marlene,The Interrupters,Poetry,I Saw the Devil,Drive,,,,,,,,,,,,
Stephanie Zacharek,The Artist,Melancholia,"Tinker, Tailor, Soldier, Spy",Midnight in Paris,Jane Eyre [Note: 5-10 can be in any order],Le Havre,Bill Cunningham New York,Pina,Cave of Forgotten Dreams,Drive,,,,,,,,,,,,
Sean Axmaker,Mysteries of Lisbon,Uncle Boonmee Who Can Recall His Past Lives,Certified Copy,Meek's Cutoff,Drive,The Descendants,Poetry,The Tree of Life,The Artist,Hugo,,,,,,,,,,,,
Jim Emerson,Uncle Boonmee Who Can Recall His Past Lives,Meek's Cutoff,Melancholia,Certified Copy,Margaret,Tinker Tailor Soldier Spy,The Mill and the Cross,Take Shelter,A Dangerous Method,Carnage,,,,,,,,,,,,
Don Kaye,The Descendants,Melancholia,Martha Marcy May Marlene,Tinker Tailor Soldier Spy,The Tree of Life,Tyrannosaur,Take Shelter,X-Men: First Class,We Need to Talk About Kevin,Shame,,,,,,,,,,,,
Glenn Kenny,A Dangerous Method,Hugo,The Descendants,Take Shelter,Uncle Boonmee Who Can Recall His Past Lives,We Need to Talk About Kevin,Margaret,Mysteries of Lisbon,The Skin I Live In,The Tree of Life,,,,,,,,,,,,
Richard T. Jameson,"Tinker, Tailor, Soldier, Spy",Le Havre,Certified Copy,The Artist,Drive,Meek's Cutoff,A Dangerous Method,Martha Marcy May Marlene,The Descendants,Moneyball,,,,,,,,,,,,
Dave McCoy,Take Shelter,The Muppets,A Separation,Margaret,Shame,Meek's Cutoff,Certified Copy,Moneyball,Rise of the Planet of the Apes,The Skin I Live In,,,,,,,,,,,,
Kim Morgan,Melancholia,The Tree of Life,The Skin I Live In,Shame,A Dangerous Method,Assassins,Uncle Boonmee Who Can Recall His Past Lives,Moneyball,Hugo,Sucker Punch,,,,,,,,,,,,
MTV,The Girl with the Dragon Tattoo,Drive,"Harry Potter and the Deathly Hallows, Part 2",Bridesmaids,Hugo,X-Men: First Class,The Muppets,50/50,The Descendants,Attack the Block ,,,,,,,,,,,,
Mike Scott,The Artist,Hugo,War Horse,"Harry Potter and the Deathly Hallows, Part 2",The Tree of Life,The Girl with the Dragon Tattoo,The Help,Super 8,Midnight in Paris,The Descendants,,,,,,,,,,,,
David Edelstein,The Adventures of Tintin,Beginners,Coriolanus,The Descendants,Gainsbourg: A Heroic Life,Hell and Back Again,Into the Abyss,Margin Call,Mysteries of Lisbon,War Horse,,,,,,,,,,,,
Joe Neumaier,Margin Call,The Descendants,The Tree of Life,Beginners,Rise of the Planet of the Apes,Moneyball,Cave of Forgotten Dreams,Source Code,50/50,Super 8 ,,,,,,,,,,,,
Elizabeth Weitzman,Hugo,The Artist,Moneyball,The Trip,Higher Ground,Shame,Melancholia,Crime After Crime,Roadie,Winnie the Pooh,,,,,,,,,,,,
Lou Lumenick,The Descendants,"Harry Potter and the Deathly Hallows, Part 2",Melancholia,The Tree of Life,Margin Call,The Skin I Live In,The Artist,J. Edgar,Moneyball,The Adventures of Tintin,We Bought a Zoo,,,,,,,,,,,
Kyle Smith,The Artist,War Horse,Bridesmaids,Captain America: The First Avenger,Drive,Super 8,Rango,Contagion,The Iron Lady,50/50 ,,,,,,,,,,,,
Manohla Dargis,Abracadabra,Aurora,The Autobiography of Nicolae Ceausescu,Bridesmaids,Contagion,A Dangerous Method,J. Edgar,Le Havre,Hugo,Melancholia,Moneyball,My Joy,Mysteries of Lisbon,Of Gods and Men,Poetry,Le Quattro Volte,The Return,Seeking the Monkey King,The Skin I Live In,"Tinker, Tailor, Soldier, Spy",Voluptuous Sleep,Warrior
Stephen Holden,The Descendants,Of Gods and Men,The Tree of Life,Margin Call,Melancholia,We Were Here,Incendies,A Dangerous Method,Certified Copy,Moneyball ,,,,,,,,,,,,
A.O. Scott,Bridesmaids,A Brighter Summer Day,Cedar Rapids,A Dangerous Method,The Descendants,The Future,The Help,Incendies,Into the Abyss,Margin Call,Meek's Cutoff,Mysteries of Lisbon,Le Quattro Volte,The Tree of Life,"Tuesday, After Christmas",War Horse,Warrior,Weekend,Winnie the Pooh,Young Adult,,
Richard Brody,The Future,The Tree of Life,Film Socialisme,Hugo,Certified Copy,Margaret,Petition,Putty Hill,Silver Bullets,A Screaming Man ,,,,,,,,,,,,
David Denby,Hugo,The Tree of Life,Margin Call,Certified Copy,A Separation,Contagion,The Descendants,J. Edgar,Source Code,Rise of the Planet of the Apes,,,,,,,,,,,,
Susan G. Cole,The Tree of Life,Beginners,The Artist,Margaret,Biutiful,Another Year,"Pink Ribbons, Inc.",Young Adult,Wiebo's War,The Mill and the Cross,,,,,,,,,,,,
Radheyan Simonpillai,Meek's Cutoff,Take Shelter,The Descendants,The Tree of Life,Of Gods and Men,Poetry,Dogtooth,The Girl with the Dragon Tattoo,Another Year,Contagion,,,,,,,,,,,,
Glenn Sumi,The Tree of Life,The Trip,Another Year,The Illusionist,Melancholia,Win Win,Project Nim,Attack the Block,War Horse,Young Adult ,,,,,,,,,,,,
Norm Wilner,The Tree of Life,Café de Flore,Meek's Cutoff,Project Nim,The Guard,Nostalgia for the Light,Take Shelter,The Trip,Four Lions,The Illusionist ,,,,,,,,,,,,
Philip French,Archipelago,The Artist,The Deep Blue Sea,Hugo,The King's Speech,Midnight in Paris,Le Quattro Volte,A Separation,The Skin I Live In,True Grit ,,,,,,,,,,,,
Stan Hall,Cave of Forgotten Dreams,Weekend,How to Die in Oregon,We Were Here,Martha Marcy May Marlene,World on a Wire,Take Shelter,Drive,Uncle Boonmee Who Can Recall His Past Lives,Meek's Cutoff,Margin Call ,,,,,,,,,,,
Shawn Levy,Hugo,The Interrupters,The Guard,Mildred Pierce,How to Die in Oregon,On the Bowery,Rango,The Skin I Live In,We Need to Talk About Kevin,Beginners,,,,,,,,,,,,
