Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,,,,,,,,,,,,
Marc Mohan,Hugo,Cave of Forgotten Dreams,The Skin I Live In,The Muppets,The Double Hour,Viva Riva!,Bridesmaids,The Tree of Life,Bellflower,Rise of the Planet of the Apes,,,,,,,,,,,,
Mike Russell,Drive,13 Assassins,Vengeance,Hugo,The Tree of Life,Bellflower,Martha Marcy May Marlene,Young Adult,Attack the Block,The Artist,Rango,Mission: Impossible-Ghost Protocol,Rise of the Planet of the Apes,,,,,,,,,
Paste,The Tree of Life,Take Shelter,Hugo,The Interrupters,A Separation,Drive,General Orders No. 9,Bellflower,Beginners,Project Nim ,,,,,,,,,,,,
Steven Rea,The Artist,Beginners,The Descendants,Jane Eyre,Melancholia,Moneyball,Of Gods and Men,Take Shelter,The Tree of Life,The Trip,,,,,,,,,,,,
The Playlist,Beginners,The Girl with the Dragon Tattoo,Drive,"Tinker, Tailor, Soldier, Spy",The Skin I Live In,Contagion,Mission: Impossible-Ghost Protocol,Hanna,Margaret,Attack the Block,,,,,,,,,,,,
James Berardinelli,The Girl with the Dragon Tattoo,The Descendants,Shame,The Tree of Life,The Artist,Extremely Loud & Incredibly Close,Martha Marcy May Marlene,We Need to Talk About Kevin,Blue Valentine,Hugo,Super 8,,,,,,,,,,,
Reverse Shot,The Tree of Life,Uncle Boonmee Who Can Recall His Past Lives,Certified Copy,Nostalgia for the Light,Meek's Cutoff,Mysteries of Lisbon,The Autobiography of Nicolae Ceauşescu,Take Shelter,The Arbor,Historias extraordinarias,,,,,,,,,,,,
Peter Travers,Drive,The Artist,The Descendants,Moneyball,Midnight in Paris,Hugo,"Tinker, Tailor, Soldier, Spy",Margin Call,The Tree of Life,War Horse,The Help,"Harry Potter and the Deathly Hallows, Part 2",,,,,,,,,,
Andrew O'Hehir,Poetry,Melancholia,Take Shelter,Coriolanus,Mysteries of Lisbon,A Separation,Drive,Uncle Boonmee Who Can Recall His Past Lives,Meek's Cutoff,Putty Hill ,,,,,,,,,,,,
Sean P. Means,Beginners,The Artist,Contagion,Another Earth,Cave of Forgotten Dreams,Super 8,The Last Lions,The Adjustment Bureau,Moneyball,Martha Marcy May Marlene,,,,,,,,,,,,
Peter Hartlaub,The Tree of Life,Hugo,Take Shelter,Win Win,Warrior,Senna,The Descendants,Hanna,"Tinker, Tailor, Soldier, Spy","Crazy, Stupid, Love ",,,,,,,,,,,,
Mick LaSalle,The Artist,My Week With Marilyn,One Day,Bridesmaids,Like Crazy,We Were Here,The Girl with the Dragon Tattoo,Midnight in Paris,Moneyball,Love Crime ,,,,,,,,,,,,
Slant,The Tree of Life,Certified Copy,Mysteries of Lisbon,Take Shelter,Margaret,The Skin I Live In,Road to Nowhere,Love Exposure,The Time That Remains,Pina ,,,,,,,,,,,,
Jesse Cataldo,Certified Copy,A Brighter Summer Day,The Tree of Life,Uncle Boonmee Who Can Recall His Past Lives,Extraordinary Stories,Mysteries of Lisbon,Film Socialisme,Nostalgia for the Light,Meek's Cutoff,Margaret ,,,,,,,,,,,,
Ed Gonzalez,Certified Copy,A Brighter Summer Day,Nostalgia for the Light,Margaret,Tomboy,Polytechnique,The Tree of Life,A Separation,Leap Year,In the Family ,,,,,,,,,,,,
Slant,Mysteries of Lisbon,A Brighter Summer Day,Uncle Boonmee Who Can Recall His Past Lives,The Tree of Life,Certified Copy,In the Family,A Separation,Nostalgia for the Light,Margaret,Hugo ,,,,,,,,,,,,
Nick Schager,The Tree of Life,Certified Copy,A Separation,Poetry,Uncle Boonmee Who Can Recall His Past Lives,"Tuesday, After Christmas",Nostalgia for the Light,Foreign Parts,Meek's Cutoff,Bellflower ,,,,,,,,,,,,
David Chen,War Horse,Attack the Block,Submarine,Hugo,50/50,Martha Marcy May Marlene,Drive,Another Earth,Mission: Impossible-Ghost Protocol,The Guard,,,,,,,,,,,,
Angie Han,The Future,Hugo,Melancholia,Young Adult,Rango,Bridesmaids,Midnight in Paris,Attack the Block,Weekend,The Tree of Life,,,,,,,,,,,,
Dana Stevens,Buck,Cave of Forgotten Dreams,Certified Copy,The Clock,The Interrupters,Rise of the Planet of the Apes,A Separation,The Tree of Life,Uncle Boonmee Who Can Recall His Past Lives,Weekend ,,,,,,,,,,,,
Joe Williams,The Artist,Cave of Forgotten Dreams,The Descendants,Hugo,My Week With Marilyn,Poetry,Senna,Submarine,Take Shelter,The Tree of Life,,,,,,,,,,,,
Calvin Wilson,The Adjustment Bureau,Beginners,The Girl with the Dragon Tattoo,Hanna,Martha Marcy May Marlene,Moneyball,Shame,Take Shelter,The Tree of Life,We Need to Talk About Kevin,,,,,,,,,,,,
Steve Persall,The Artist,The Descendants,Take Shelter,Midnight in Paris,50/50,Rango,The Adventures of Tintin,Young Adult,Buck,Warrior,,,,,,,,,,,,
Stephen Whitty,The Artist,Coriolanus,The Descendants,Hugo,A Separation,Shame,The Skin I Live In,Take Shelter,The Tree of Life,We Need to Talk About Kevin ,,,,,,,,,,,,
Robbie Collin,The Artist,Drive,We Need to Talk About Kevin,Margaret,Bridesmaids,Kill List,Wuthering Heights,Moneyball,The Skin I Live In The Help ,,,,,,,,,,,,,
Richard Corliss,The Artist,Hugo,Detective Dee and the Mystery of the Phantom Flame,The Tree of Life,War Horse,Super 8,Cave of Forgotten Dreams,Rise of the Planet of the Apes,Rango,Fast Five,,,,,,,,,,,,
Mary Pols,Melancholia,The Artist,The Tree of Life,Certified Copy,Moneyball,Martha Marcy May Marlene,Young Adult,Meek's Cutoff,Contagion,Margaret,,,,,,,,,,,,
Time Out London,The Tree of Life,Le Quattro Volte,Margaret,"Tinker, Tailor, Soldier, Spy",We Need to Talk About Kevin,Senna,The Skin I Live In,Melancholia,Pina,The Artist ,,,,,,,,,,,,
David Fear,Shame,A Separation,"Tuesday, After Christmas",Moneyball,Uncle Boonmee Who Can Recall His Past Lives,Cold Weather,Incendies,Senna,The Trip,My Joy ,,,,,,,,,,,,
Joshua Rothkopf,Drive,Shame,We Need to Talk About Kevin,13 Assassins,The Trip,Coriolanus,A Separation,Incendies,My Perestroika,Attack the Block ,,,,,,,,,,,,
Keith Uhlich,Certified Copy,Margaret,The Tree of Life,"Tinker, Tailor, Soldier, Spy",Psychohydrography,Take Shelter,To Die Like a Man,Poetry,Agrarian Utopia,Sucker Punch ,,,,,,,,,,,,
Total Film,Drive,The Tree of Life,Black Swan,Blue Valentine,"Tinker, Tailor, Soldier, Spy",Kill List,Animal Kingdom,A Separation,Bridesmaids,We Need to Talk About Kevin ,,,,,,,,,,,,
TV Guide,Bridesmaids,Midnight in Paris,Drive,Super 8,"Harry Potter and the Deathly Hallows, Part 2",Moneyball,Hugo,50/50,"Crazy, Stupid, Love",Rise of the Planet of the Apes ,,,,,,,,,,,,
Claudia Puig,The Artist,Beginners,A Better Life,Bridesmaids,The Descendants,50/50,Like Crazy,A Separation,The Tree of Life,Win Win,,,,,,,,,,,,
Aaron Hillis,Melancholia,Drive,Uncle Boonmee Who Can Recall His Past Lives,Meek's Cutoff,The Arbor,Martha Marcy May Marlene,Shame,Position Among the Stars,We Need to Talk About Kevin,Kaboom ,,,,,,,,,,,,
J. Hoberman,A Dangerous Method,Melancholia,Mysteries of Lisbon,Aurora,Seeking the Monkey King,To Die Like a Man,Uncle Boonmee Who Can Recall His Past Lives,Hugo,J. Edgar,United Red Army ,,,,,,,,,,,,
Eric Hynes,The Tree of Life,Take Shelter,The Interrupters,Uncle Boonmee Who Can Recall His Past Lives,The Autobiography of Nicolae Ceausescu,A Dangerous Method,The Arbor,Weekend,A Separation,"Tuesday, After Christmas ",,,,,,,,,,,,
Karina Longworth,Margaret,Melancholia,Meek's Cutoff,The Tree of Life,The Arbor,A Separation,Drive,Contagion,The Future,Moneyball ,,,,,,,,,,,,
Nick Pinkerton,The Autobiography of Nicolae Ceausescu,The Descendants,Final Destination 5,The Future,La Pivellina,The Mill and the Cross,The Princess of Montpensier,Rise of the Planet of the Apes,Take Shelter,The Tree of Life ,,,,,,,,,,,,
Joe Morgenstern,1. A Separation (all other films unranked),The Artist,Bridesmaids,Buck,The Descendants,Midnight in Paris,Moneyball,Of Gods and Men,The Tree of Life,Young Adult,,,,,,,,,,,,
Ann Hornaday,Meek's Cutoff,The Descendants,Moneyball,Buck,Beginners,Take Shelter,Nostalgia for the Light,The Trip,Drive,Win Win ,,,,,,,,,,,,
