Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
David Coursen,Proce,Swimming Out Til the Sea Turns Blue,The Velvet Underground,The Woman Who Ran,Bad Luck Banging or Loony Porn,Days,There Is No Evil,The Power of the Dog,Preparations to Be Together for an Unknown Period of Time,Drive My Car
Kathy Fennessy,Drive My Car,Bad Luck Banging or Loony Porn,No Sudden Move,The Velvet Underground,The Power of the Dog,Licorice Pizza,Pig,The Worst Person in the World,Shiva,The Card Counter
Robert Horton,What Do We See When We Look at the Sky?,Licorice Pizza,Wheel of Fortune and Fantasy,Drive My Car,The Power of the Dog,Herr Bachmann and His Class,Bad Luck Banging or Loony Porn,The Velvet Underground,The Worst Person in the World
Richard T. Jameson,The Lost Daughter,The Card Counter,The Power of the Dog,The Worst Person in the World,Licorice Pizza,Bergman Island,Titane,Bad Luck Banging or Loony Porn,Annette
Paste,The Green Knight,Drive My Car,Memoria,C'mon C'mon,Benedetta,Nine Days,Days,Licorice Pizza,"This Is Not a Burial, It's a Resurrection",West Side Story
Tom Gliatto,West Side Story,King Richard,Licorice Pizza,The Power of the Dog,Passing,Shang-Chi and the Legend of the Ten Rings,CODA,Nightmare Alley,Belfast,Summer of Soul
Sean Collier,The Power of the Dog,In the Heights,Spencer,The Tragedy of Macbeth,West Side Story,The Lost Daughter,The Green Knight,The Last Duel,Titane,Shiva Baby
Joshua Axelrod,Belfast,West Side Story,King Richard,The Mitchells vs. The Machines,"tick, tick...BOOM!",The Power,In the Heights,Cyrano,Encanto,Shang-Chi and the Legend of the Ten Rings
The Playlist,Licorice Pizza,The Power of the Dog,The Green Knight,Titane,Dune,The French Dispatch,Pig,Spencer,"This Is Not a Burial, It's a Resurrection",The Card Counter
Keith Phipps,The Power of the Dog,Pig,Drive My Car,West Side Story,Parallel Mothers,Licorice Pizza,A Hero,Bergman Island,The Green Knight,Passing
Scott Tobias,Drive My Car,A Hero,Bad Luck Banging or Loony Porn,Memoria,Pig,Red Rocket,Licorice Pizza,Wheel of Fortune and Fantasy,The Viewing Booth,The Card Counter
Reverse Shot,Memoria,Drive My Car,The Souvenir Part II,The Power of the Dog,Annette,West Side Story,Bad Luck Banging or Loony Porn,Wheel of Fortune and Fantasy,What Do We See When We Look at the Sky?,El Planeta
Sean Fennessey,Licorice Pizza,The Worst Person in the World,Dune,Can't Get You Out of My Head,The Card Counter,The Beatles: Get Back,The Velvet Underground,Bergman Island,Red Rocket,Drive My Car,C'mon C'mon,The Lost Daughter
Adam Nayman,Drive My Car,Wheel of Fortune and Fantasy,Licorice Pizza,Azor,Benedetta,The Inheritance,Annette,Old,Wife of a Spy,The Power of the Dog,Saint Maud
Simon Abrams,Just Don't Think I'll Scream,State Funeral,Wojnarowicz: F--- You F-ggot F---er,The Disciple,"This Is Not a Burial, It's a Resurrection",Days,Wheel of Fortune and Fantasy,The French Dispatch,Film About a Father Who,A Shape of Things to Come
Carlos Aguilar,Identifying Features,The Souvenir Part II,Flee,Drive My Car,Petite Maman,The Worst Person in the World,A Hero,Parallel Mothers,Limbo,Luca
Nick Allen,"All Light, Everywhere",The Disciple,The Power of the Dog,In the Same Breath,Titane,Bad Trip,Summer of Soul,C'mon C'mon,The Sparks Brothers,Test Pattern
Monica Castillo,The Worst Person in the World,The Power of the Dog,The Souvenir Part II,Licorice Pizza,Drive My Car,C'mon C'mon,Identifying Features,Procession,The Inheritance,Shiva Baby
Godfrey Cheshire,Drive My Car,Chess of the Wind,The Father,The Worst Person in the World,The Tragedy of Macbeth,Licorice Pizza,Gunda,Bad Luck Banging or Loony Porn,Hope,The Rescue
Seongyong Cho,The Disciple,The Green Knight,The Power of the Dog,Drive My Car,Pig,Petite Maman,Limbo,"Quo Vadis, Aida?",Riders of Justice,Nine Days
Robert Daniels,The Power of the Dog,"This Is Not a Burial, It's a Resurrection",Preparations to Be Together for an Unknown Period of Time,Parallel Mothers,Titane,Spencer,The Gaze,Petite Maman,Drive My Car,Pig
Mark Dujsik,Nine Days,The Power of the Dog,Summer of Soul,Procession,Judas and the Black Messiah,"Quo Vadis, Aida?",The Green Knight,Identifying Features,In the Heights,Silent Night
Isaac Feldberg,"This Is Not a Burial, It's a Resurrection",Annette,The Green Knight,Drive My Car,Test Pattern,The Worst Person in the World,Passing,The Power of the Dog,Zola,The French Dispatch
Marya E. Gates,Preparations to Be Together for an Unknown Period of Time,The Power of the Dog,Shiva Baby,Parallel Mothers,Passing,Venom: Let There Be Carnage,Spencer,True Mothers,Titane,Pig
Jason Gorber,Summer of Soul,Mass,Benedetta,The French Dispatch,Dune,The Last Duel,Red Rocket,West Side Story,Luzzu,Passing
Roxana Hadadi,The Green Knight,The Power of the Dog,A Hero,Parallel Mothers,Petite Maman,The Lost Daughter,Bergman Island,7 Prisoners,Sun Children,The Last Duel
Odie Henderson,Summer of Soul,Summertime,In the Heights,The Harder They Fall,Procession,Passing,Wheel of Fortune and Fantasy,Flee,Parallel Mothers,MLK/FBI
Ben Kenigsberg,Memoria,Drive My Car,Malmkrog,Red Rocket,Annette,Licorice Pizza,The Power of the Dog,Pig,Lost Course,West Side Story
Jonah Koslofsky,Licorice Pizza,The Worst Person in the World,Red Rocket,The Souvenir Part II,Judas and the Black Messiah,The Last Duel,The Green Knight,Dune,Bad Trip,The Suicide Squad
Tomris Laffly,Drive My Car,The Power of the Dog,The Lost Daughter,Summer of Soul,Judas and the Black Messiah,Licorice Pizza,Stray,Bergman Island,Red Rocket,Nightmare Alley
Christy Lemire,Licorice Pizza,The Power of the Dog,The Green Knight,Spencer,Summer of Soul,Titane,Bo Burnham: Inside,Pig,Riders of Justice,Saint Maud
Mary Beth McAndrews,Violation,The Wanting Mare,Titane,Pig,The Medium,The Feast,We're All Going to the World's Fair,Sator,Shiva Baby,Censor
Sergio Mims,West Side Story,Nightmare Alley,Red Rocket,No Time to Die,The Harder They Fall,Licorice Pizza,Benedetta,Attica,The Card Counter,King Richard
Jana Monji,Belfast,Drive My Car,Flee,Free Guy,I'm Your Man,In the Same Breath,The First Wave,Lily Topples the World,The Power of the Dog,"tick, tick...BOOM!",Writing With Fire
Abby Olcese,West Side Story,Petite Maman,The Tragedy of Macbeth,The Power of the Dog,Barb & Star Go to Vista Del Mar,F9: The Fast Saga,Pig,The Worst Person in the World,Procession,Candyman
Michal Oleszczyk,Saint Maud,The Dig,King Richard,Bad Luck Banging or Loony Porn,Nomadland,The Power of the Dog,The White Lotus,Passing,Titane,One Night in Miami
Matt Zoller Seitz,The Velvet Underground,Summer of Soul,Procession,Drive My Car,The French Dispatch,The Power of the Dog,Titane,The Harder They Fall,The Last Duel,Holler
Peter Sobczynski,Annette,Licorice Pizza,Petite Maman,The Souvenir Part II,The Scary of Sixty-First,The Card Counter,Pig,Titane,Drive My Car,Shiva Baby
Collin Souter,The Green Knight,Petite Maman,Belle,West Side Story,Licorice Pizza,Drive My Car,The Harder They Fall,The Lost Daughter,The Worst Person in the World,Red Rocket
Scout Tafoya,The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),Old,Procession,Zeros and Ones,The Village Detective,The World to Come,Oxygen,El Planeta,"All Light, Everywhere",A Crime on the Bayou
Brian Tallerico,The Power of the Dog,A Hero,Memoria,Licorice Pizza,Flee,The Green Knight,Petite Maman,The Wor,The Lost Daughter,Pig
Kyle Turner,The Woman in the Window,The Voyeurs,Zola,This American Wife,Memoria,The Power of the Dog,Listening to Kenny G,Days,House of Gucci,Cryptozoo
Susan Wloszczyna,Licorice Pizza,"tick, tick...BOOM!",West Side Story,CODA,The Power of the Dog,The Sparks Brothers,Mass,Summer of Soul,The Humans,Passing
K. Austin Collins,Benedetta,Hidden,Days,Drive My Car,Wheel of Fortune and Fantasy,Passing,France,Procession,Test Pattern,The Card Counter,Beginning
David Fear,Drive My Car,The Human Voice,Beginning,The Viewing Booth,The Souvenir Part II,Bad Luck Banging or Loony Porn,Shiva Baby,The Velvet Underground,"Quo Vadis, Aida?",Licorice Pizza
Aedín Gormley,West Side Story,Another Round,The Power of the Dog,King Richard,Supernova,Promising Young Woman,A Quiet Place Part II,No Time to Die,The Father,Arracht
Scott Renshaw,Memoria,Test Pattern,A Hero,Bo Burnham: Inside,Drive My Car,John and the Hole,Can You Bring It: Bill T. Jones and D-Man in the Waters,The Worst Person in the World,Procession,West Side Story
Sean P. Means,Flee,Drive My Car,Nine Days,Bo Burnham: Inside,Summer of Soul,Jockey,Bergman Island,Judas and the Black Messiah,I Carry You With me,Candyman
Kiko Martinez,CODA,Mass,Licorice Pizza,Being the Ricardos,In the Heights,Language Lessons,Spencer,Prayers for the Stolen,The Killing of Kenneth Chamberlain,The Mitchells vs. The Machines
Mick LaSalle,West Side Story,House of Gucci,Belfast,Don't Look Up,Stillwater,Benedetta,Licorice Pizza,The Last Duel,No Time to Die,F9: The Fast Saga
Randy Myers,Drive My Car,The Worst Person in the World,Red Rocket,The Power of the Dog,C'mon C'mon,Passing,Dune,Licorice Pizza,The Lost Daughter,Summer of Soul
ScreenAnarchy,Dune,The Green Knight,The Power of the Dog,Memoria,Drive My Car,The Feast,Pig,Titane,Malignant,Licorice Pizza
Matt Singer,Barb & Star Go to Vista Del Mar,Dune,Pig,The Worst Person in the World,The Last Duel,The Mitchells vs. The Machines,Bad Luck Banging or Loony Porn,Bad Trip,West Side Story,The Power of the Dog
Tim Grierson,Petite Maman,Memoria,Passing,The Worst Person in the World,Red Rocket,Dune,C'mon C'mon,Licorice Pizza,The Green Knight,The Lost Daughter
Fionnuala Halligan,The Souvenir Part II,Licorice Pizza,West Side Story,C'mon C'mon,Parallel Mothers,Passing,The Power of the Dog,Petite Maman,Great Freedom,Belfast
Allan Hunter,Drive My Car,Petite Maman,The Power of the Dog,The Souvenir Part II,La Civil,Great Freedom,Belfast,Maixabel,The Lost Daughter,Hive
Wendy Ide,Hit the Road,The Lost Daughter,Zola,The Power of the Dog,Azor,Titane,The Souvenir Part II,What Do We See When We Look at the Sky?,Brother's Keeper,The Worst Person in the World
Jonathan Romney,A Cop Movie,Il Buco,Playground,The Pink Cloud,What Do We See When We Look at the Sky?,Vortex,Drive My Car,The Souvenir Part II,The Card Counter,Memoria
Screen Rant,Dune,CODA,The Green Knight,The Last Duel,Shiva Baby,F9: The Fast Saga,Pig,The Mitchells vs. The Machines,West Side Story,Luca
Screen Slate contributors,Drive My Car,Memoria,Benedetta,Annette,Bad Luck Banging or Loony Porn,The Souvenir Part II,Days,What Do We See When We Look at the Sky?,The Power of the Dog,The Card Counter
Bruce Miller,Belfast,West Side Story,The Power of the Dog,"tick, tick...BOOM!",The French Dispatch,King Richard,Licorice Pizza,Nightmare Alley,Storm Lake,The Mitchells vs. The Machines
The Skinny,Petite Maman,Limbo,First Cow,Titane,The Green Knight,Drive My Car,Minari,Summer of Soul,The French Dispatch,Shiva Baby
Chris Barsanti,The Power of the Dog,The Velvet Underground,Ema,Red Rocket,Ascension,The Green Knight,Flee,Zola,Final Account,"Quo Vadis, Aida?"
Chuck Bowen,Drive My Car,Parallel Mothers,Wheel of Fortune and Fantasy,Licorice Pizza,"All Light, Everywhere",Zola,In the Same Breath,The Power of the Dog,Procession,Come True
Pat Brown,Memoria,Drive My Car,The Worst Person in the World,Wheel of Fortune and Fantasy,Red Rocket,The Souvenir Part II,Parallel Mothers,Bergman Island,Petite Maman,"All Light, Everywhere"
Jake Cole,Days,Labyrinth of Cinema,Memoria,Drive My Car,The Worst Person in the World,The Power of the Dog,Siberia,The Woman Who Ran,Petite Maman,Licorice Pizza
Ed Gonzalez,Drive My Car,"All Light, Everywhere",The Power of the Dog,Licorice Pizza,Two Lottery Tickets,Wheel of Fortune and Fantasy,Identifying Features,In the Same Breath,Bergman Island,Parallel Mothers
Christopher Gray,Wheel of Fortune and Fantasy,Memoria,Procession,The Power of the Dog,The Worst Person in the World,Days,Undine,Just Don't Think I'll Scream,El Planeta,Azor
Wes Greene,Petite Maman,The Power of the Dog,Shiva Baby,Bergman Island,The Worst Person in the World,The Velvet Underground,Red Rocket,Wheel of Fortune and Fantasy,There Is No Evil,"All Light, Everywhere"
Mark Hanson,Memoria,Red Rocket,The Worst Person in the World,The Scary of Sixty-First,The Fever,"All Light, Everywhere",What Do We See When We Look at the Sky?,The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),The Card Counter,Heard She Got Married
Carson Lund,The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),Memoria,Licorice Pizza,Drive My Car,About Endlessness,"All Light, Everywhere",Her Socialist Smile,The Souvenir Part II,Two Lottery Tickets,The Card Counter
William Repass,Never Gonna Snow Again,Titane,The Power of the Dog,I'm Your Man,The Green Knight,Bad Tales,Lost Course,Judas and the Black Messiah,Come True,Memory House
Steven Scaife,Titane,Identifying Features,Pig,Drive My Car,Agnes,Zola,Test Pattern,Red Rocket,The Power of the Dog,Bad Trip
Diego Semerene,The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),State Funeral,"This Is Not a Burial, It's a Resurrection",There Is No Evil,Drive My Car,Just Don't Think I'll Scream,Faya Dayi,About Endlessness,Flee,Benedetta
Derek Smith,Drive My Car,The Disciple,Licorice Pizza,What Do We See When We Look at the Sky?,"All Light, Everywhere",The Power of the Dog,Parallel Mothers,I'm Your Man,A Shape of Things to Come,Wheel of Fortune and Fantasy
Keith Watson,Memoria,What Do We See When We Look at the Sky?,The Power of the Dog,The French Dispatch,Just Don't Think I'll Scream,Benedetta,The Souvenir Part II,Licorice Pizza,The Two Sights,El Planeta
Ethan Anderton,The Mitchells vs. The Machines,Licorice Pizza,Mass,Spencer,"tick, tick...BOOM!",The Harder They Fall,Nightmare Alley,West Side Story,Spider-Man: No Way Home,Barb & Star Go to Vista Del Mar
Hoai-Tran Bui,The Green Knight,Dune,Spencer,Drive My Car,Pig,Nightmare Alley,Luca,The Beatles: Get Back,The Power of the Dog,Petite Maman
Chris Evangelista,West Side Story,Licorice Pizza,Wild Indian,Pig,The Green Knight,Spencer,The Power of the Dog,Procession,The Last Duel,Annette
Ben Pearson,The Harder They Fall,Bo Burnham: Inside,CODA,West Side Story,"tick, tick...BOOM!",Pig,Swan Song,Procession,Drive My Car,Fear Street trilogy
Hannah Shaw-Williams,The Power of the Dog,The Suicide Squad,Dune,Zola,The Last Duel,The Green Knight,The Night House,Spider-Man: No Way Home,Malignant,Old
Chris Hewitt,Summer of Soul,Licorice Pizza,West Side Story,A Quiet Place Part II,Passing,The Mitchells vs. The Machines,The Dig,Drive My Car,The Worst Person in the World,Spencer
Robbie Collin,West Side Story,Dune,Drive My Car,Nomadland,The Power of the Dog,The French Dispatch,Zola,First Cow,Spencer,The Last Duel
Steve Prokopy,Licorice Pizza,Drive My Car,Pig,The Power of the Dog,The Green Knight,Passing,The Lost Daughter,Bo Burnham: Inside,The Card Counter,Titane
Thrillist,The Power of the Dog,Pig,The Worst Person in the World,Zola,Licorice Pizza,Red Rocket,Annette,West Side Story,Drive My Car,Barb & Star Go to Vista Del Mar
Stephanie Zacharek,The Power of the Dog,The Worst Person in the World,Summer of Soul,The Souvenir Part II,Parallel Mothers,Passing,The Disciple,C'mon C'mon,The Tragedy of Macbeth,Drive My Car
Phil de Semlyen and Andy Kryza,Licorice Pizza,Nomadland,The Father,The Power of the Dog,Summer of Soul,"Quo Vadis, Aida?",Dune,Spencer,No Time to Die,West Side Story
Tilt Magazine,Dune,The Suicide Squad,Spider-Man: No Way Home,No Time to Die,Titane,The Green Knight,Drive My Car,The Card Counter,Licorice Pizza,The Power of the Dog
Rory Fish,The Father,C'mon C'mon,CODA,Pig,The Worst Person in the World,Judas and the Black Messiah,The French Dispatch,Shiva Baby,Last Night in Soho,I Care a Lot
Peter Howell,The Power of the Dog,Licorice Pizza,Summer of Soul,Drive My Car,Spencer,The Beatles: Get Back,The Velvet Underground,Dune,Flee,Beans
Total Film,Dune,The Green Knight,Nomadland,Sound of Metal,Promising Young Woman,The Father,The Nest,Minari,The Mitchells vs. The Machines,Bo Burnham: Inside
Uncut,Summer of Soul,The Velvet Underground,First Cow,Nomadland,Karen Dalton: In My Own Time,The Sparks Brothers,A Cop Movie,Gunda,New Order,The French Dispatch
Uproxx,Dune,The Green Knight,Licorice Pizza,The Power of the Dog,Red Rocket,The Beatles: Get Back,Titane,The Worst Person in the World,Barb & Star Go to Vista Del Mar,F9: The Fast Saga,Pig,A Quiet Place Part II
Vince Mancini,The Green Knight,Licorice Pizza,Dune,Red Rocket,The French Dispatch,The White Tiger,Benedetta,Titane,Bad Luck Banging or Loony Porn,The Eyes of Tammy Faye
Mara Reinstein,CODA,West Side Story,King Richard,Belfast,House of Gucci,Don't Look Up,The Last Duel,Last Night in Soho,Billie Eilish: The World's a Little Blurry,Barb & Star Go to Vista Del Mar
Brian Truitt,Spencer,The Father,The Green Knight,"tick, tick...BOOM!",The Power of the Dog,Drive My Car,CODA,West Side Story,Spider-Man: No Way Home,Licorice Pizza
Richard Lawson,The Worst Person in the World,Drive My Car,The Power of the Dog,C'mon C'mon,Flee,The Souvenir Part II,The Humans,Mass,The Green Knight,Bergman Island
Peter Debruge,Jockey,The French Dispatch,Dune,The Lost Daughter,Nightmare Alley,The Worst Person in the World,Cyrano,Judas and the Black Messiah,Licorice Pizza,The Killing of Two Lovers
Owen Gleiberman,Spencer,House of Gucci,The Beatles: Get Back,Drive My Car,Cruella,Zola,King Richard,Zack Snyder's Justice League,CODA,Parallel Mothers
Alissa Wilkinson,Bergman Island,The Worst Person in the World,The Lost Daughter,Procession,The Power of the Dog,The Viewing Booth,The Souvenir Part II,Wheel of Fortune and Fantasy,Licorice Pizza,West Side Story
Angelica Jade Bastién,Faya Dayi,The Worst Person in the World,Wheel of Fortune and Fantasy,The Gaze,Drive My Car,"This Is Not a Burial, It's a Resurrection",The Lost Daughter,C'mon C'mon,Bergman Island,Petite Maman
Bilge Ebiri,Annette,"This Is Not a Burial, It's a Resurrection",The Power of the Dog,Drive My Car,Flee,Pig,Can You Bring It: Bill T. Jones and D-Man in the Waters,Holler,The Worst Person in the World,In the Heights
Alison Willmore,The Lost Daughter,Bad Luck Banging or Loony Porn,The Worst Person in the World,West Side Story,Petite Maman,Drive My Car,Pig,Dune,The Disciple,Bad Trip
John Paul King,West Side Story,The Power of the Dog,The Velvet Underground,Saint-Narcisse,Wojnarowicz: F--- You F-ggot F---er,Benedetta,Swan Song,In the Heights,Ailey,"tick, tick...BOOM!"
We Are Movie Geeks,Belfast,Spider-Man: No Way Home,Licorice Pizza,The French Dispatch,Cry Macho,Tragedy of Macbeth,Cruella,No Time to Die,Encanto,West Side Story
The Week,The Power of the Dog,"tick, tick...BOOM!",No Time to Die,Dune,Nomadland,The Last Duel,No Sudden Move,Free Guy,Luca,Promising Young Woman
Jack Pooley,The Power of the Dog,Judas and the Black Messiah,Mass,Flee,West Side Story,Pig,CODA,The Green Knight,The Mitchells vs. The Machines,The Suicide Squad
Michael Glover Smith,Wheel of Fortune and Fantasy,Drive My Car,Shadow Kingdom,The Power of the Dog,Annette,Cry Macho,Benedetta,The Souvenir Part II,In Front of Your Face,Faya Dayi
Jordan Ruimy,The Power of the Dog,Red Rocket,Licorice Pizza,Annette,Memoria,France,Benedetta,The Killing of Two Lovers,Titane,Passing,The Lost Daughter
Alonso Duralde,Licorice Pizza,Parallel Mothers,West Side Story,Limbo,The Worst Person in the World,Petite Maman,Luca,Memoria,Barb & Star Go to Vista Del Mar,Swan Song
Yahoo! Entertainment [USA],The Power of the Dog,Dune,CODA,Nightmare Alley,Summer of Soul,In the Heights,Spider-Man: No Way Home,Licorice Pizza,Attica,Shang-Chi and the Legend of the Ten Rings
Yahoo! Movies [UK],The Power of the Dog,Sound of Metal,Dune,The Father,No Time to Die,Minari,Promising Young Woman,Another Round,Nomadland,The Lost Daughter
The Young Folks,Pig,The Green Knight,The Power of the Dog,The Mitchells vs. The Machines,Luca,Bo Burnham: Inside,Dune,The French Dispatch,The Suicide Squad,Flee
