Spotlight,Anomalisa,Love & Mercy,The Diary of a Teenage Girl,Son of Saul,Carol,Beasts of No Nation,Creed,Heart of a Dog,Tangerine,,,,,,
Brooklyn,Seymour: An Introduction,In Jackson Heights,Room,Listen to Me Marlon,Gett: The Trial of Viviane Amsalem,When Marnie Was There,Ex Machina,The Lady in the Van,Anomalisa,,,,,,
Spotlight,Beasts of No Nation,Creed,Brooklyn,Mad Max: Fury Road,Trainwreck,Sicario,(tie) Bone Tomahawk,(tie) The Hateful Eight,Ex Machina,Star Wars: The Force Awakens,,,,,
Carol,45 Years,Son of Saul,Mad Max: Fury Road,Spotlight,The Club,Sunset Song,The Assassin,Anomalisa,Sicario,,,,,,
Mad Max: Fury Road,Spotlight,It Follows,Star Wars: The Force Awakens,The Big Short,Sicario,Creed,Me and Earl and the Dying Girl,Inside Out,Beasts of No Nation,,,,,,
Arabian Nights,In Jackson Heights,Li’l Quinquin,Queen of Earth,Timbuktu,Heaven Knows What,Hard to Be a God,Carol,The Assassin,Results,,,,,,
Sicario,Spotlight,Mad Max: Fury Road,Carol,Ex Machina,Brooklyn,The Big Short,Steve Jobs,Love & Mercy,Mission: Impossible - Rogue Nation,,,,,,
Carol,Mad Max: Fury Road,Arabian Nights,Jafar Panahi's Taxi [aka Taxi Tehran],Mistress America,The Diary of a Teenage Girl,Clouds of Sils Maria,Magic Mike XXL,45 Years,Creed,,,,,,
Ex Machina,Mad Max: Fury Road,The Diary of a Teenage Girl,Spotlight,Tangerine,The Final Girls,Creed,The Hateful Eight,The Martian,The Big Short,,,,,,
Spotlight,Mad Max: Fury Road,Anomalisa,Ex Machina,Brooklyn,Inside Out,Son of Saul,Creed,Mission: Impossible - Rogue Nation,Finders Keepers,,,,,,
Mad Max: Fury Road,Room,Brooklyn,Star Wars: The Force Awakens,It Follows,Inside Out,Sicario,Spy,The Hunger Games: Mockingjay - Part 2,Chappie,,,,,,
Mad Max: Fury Road,The Look of Silence,Inside Out,Sicario,The Revenant,Call Me Lucky,Tangerine,It Follows,Entertainment,Creed,,,,,,
Mad Max: Fury Road,The Look of Silence,The Boy and the Beast,Blind,The End of the Tour,Anomalisa,The Voices,The Duke of Burgundy,The Walk,Spotlight,,,,,,
Mad Max: Fury Road,Inside Out,Carol,The Hateful Eight,Timbuktu,Phoenix,Ex Machina,Amy,Love & Mercy,The Revenant,,,,,,
Mad Max: Fury Road,Mistress America,Hard to Be a God,Carol,The Forbidden Room,Arabian Nights,Jauja,Queen of Earth,Listen to Me Marlon,Unfriended,,,,,,
Brooklyn,Youth,The Diary of a Teenage Girl,James White,Inside Out,Spotlight,Mistress America,Mommy,Room,Tangerine,,,,,,
Mad Max: Fury Road,Inside Out,Ex Machina,Sicario,The Martian,Star Wars: The Force Awakens,Whiplash,Chappie,The Gift,It Follows,,,,,,
Room,Brooklyn,Steve Jobs,Spotlight,Inside Out,Ex Machina,The Revenant,Mad Max: Fury Road,The Hateful Eight,Clouds of Sils Maria,,,,,,
Spotlight,Mad Max: Fury Road,99 Homes,Creed,Ex Machina,Love & Mercy,Inside Out,Steve Jobs,Amy,Room,,,,,,
Inside Out,Whiplash,Mad Max: Fury Road,Star Wars: The Force Awakens,The Martian,Amy,It Follows,Brooklyn,Steve Jobs,Ex Machina,,,,,,
Mad Max: Fury Road,Whiplash,Inside Out,Ex Machina,Star Wars: The Force Awakens,Sicario,Steve Jobs,The Martian,It Follows,Carol,,,,,,
Spotlight,Sicario,Room,The Look of Silence,Inside Out,Creed,Son of Saul,Carol,The Big Short,It Follows,,,,,,
Spotlight,Youth,Sicario,Blind,Mad Max: Fury Road,The Martian,About Elly,The Look of Silence,Steve Jobs,Wildlike,,,,,,
Mad Max: Fury Road,Carol,Spotlight,Phoenix,Ex Machina,Son of Saul,Hard to Be a God,Clouds of Sils Maria,Chi-Raq,Sicario,,,,,,
Brooklyn,Spotlight,Carol,The Diary of a Teenage Girl,Mad Max: Fury Road,Anomalisa,Steve Jobs,Girlhood,Room,Ex Machina,,,,,,
Spotlight,Ex Machina,Sicario,The Revenant,Love & Mercy,Mad Max: Fury Road,About Elly,Carol,Straight Outta Compton,The Big Short,,,,,,
Spotlight,He Named Me Malala,Inside Out,Carol,Sicario,Brooklyn,Youth,Room,Me and Earl and the Dying Girl,Star Wars: The Force Awakens,,,,,,
Mad Max: Fury Road,Inside Out,Star Wars: The Force Awakens,Sicario,Ex Machina,The Revenant,Carol,Creed,It Follows,The Martian,,,,,,
Son of Saul,45 Years,The Revenant,Anomalisa,Bridge of Spies,The Look of Silence,Carol,Amy,Joy,Mistress America,,,,,,
Anomalisa,Mad Max: Fury Road,Room,Creed,Call Me Lucky,Ex Machina,Brooklyn,The Hateful Eight,Star Wars: The Force Awakens,Beasts of No Nation,,,,,,
The Tribe,Brooklyn,Son of Saul,The Revenant,The Diary of a Teenage Girl,Anomalisa,Mad Max: Fury Road,Seymour: An Introduction,45 Years,Carol,,,,,,
Mad Max: Fury Road,Inside Out,Ex Machina,Mission: Impossible - Rogue Nation,Star Wars: The Force Awakens,It Follows,Bone Tomahawk,Ant-Man,What We Do in the Shadows,(tie) The Martian,(tie) Paddington,,,,,
Brooklyn,The Hateful Eight,Spotlight,Mustang,45 Years,Room,99 Homes,Far From the Madding Crowd,Straight Outta Compton,Love & Mercy,,,,,,
Carol,Mad Max: Fury Road,Brooklyn,Inside Out,The Big Short,Room,Star Wars: The Force Awakens,Tangerine,Ex Machina,The Martian,,,,,,
Spotlight,Brooklyn,Carol,Mad Max: Fury Road,Anomalisa,Ex Machina,Creed,The Revenant,Mistress America,The Diary of a Teenage Girl,,,,,,
Son of Saul,Tangerine,Heaven Knows What,A Pigeon Sat on a Branch Reflecting on Existence,Buzzard,Mad Max: Fury Road,Anomalisa,Jafar Panahi's Taxi [aka Taxi Tehran],Heart of a Dog,Carol,,,,,,
Mad Max: Fury Road,Room,Creed,Spotlight,The Martian,Magic Mike XXL,Brooklyn,The Walk,Welcome to Me,Trainwreck,,,,,,
Mad Max: Fury Road,Brooklyn,Anomalisa,Creed,Sicario,Steve Jobs,Ex Machina,Inside Out,Spotlight,The Voices,,,,,,
Hard to Be a God,Tangerine,The Duke of Burgundy,The Forbidden Room,Alleluia,Clouds of Sils Maria,Mad Max: Fury Road,Phoenix,The Revenant,45 Years,Welcome to New York,,,,,
The Assassin,Carol,Inherent Vice,Jafar Panahi's Taxi [aka Taxi Tehran],Cemetery Of Splendour,Mad Max: Fury Road,The Look of Silence,45 Years,Victoria,The Forbidden Room,,,,,,
Horse Money,The Assassin,Hard to Be a God,Jafar Panahi's Taxi [aka Taxi Tehran],The Look of Silence,The Pearl Button,Timbuktu,Chi-Raq,Stinking Heaven,Field Niggas,,,,,,
Chi-Raq,Anomalisa,The Hateful Eight,American Ultra,Mad Max: Fury Road,Room,Victoria,Spy,The Second Mother,Tangerine,,,,,,
Mistress America,Far From the Madding Crowd,Carol,While We're Young,It Follows,Unfriended,Ex Machina,The Diary of a Teenage Girl,Mustang,Spotlight,,,,,,
Spotlight,Mad Max: Fury Road,Love & Mercy,Inside Out,The End of the Tour,Heart of a Dog,Steve Jobs,Ex Machina,Straight Outta Compton,Tangerine,,,,,,
Carol,Sunset Song,The Look of Silence,Taxi Tehran,Timbuktu,Selma,Eden,Mad Max: Fury Road,Horse Money,The Voices,,,,,,
Mad Max: Fury Road,Carol,Tangerine,Ex Machina,The Assassin,The Diary of a Teenage Girl,Creed,While We're Young,Chi-Raq,Results,,,,,,
The Look of Silence,The Big Short,Meru,Timbuktu,Sicario,Son of Saul,Salt of the Earth,Rams,Spotlight,Bridge of Spies,,,,,,
It Follows,Amy,Spotlight,Mad Max: Fury Road,Room,The Big Short,Sicario,The Gift,Grandma,Brooklyn,,,,,,
Mad Max: Fury Road,Whiplash,Ex Machina,Star Wars: The Force Awakens,Brooklyn,The Martian,Inside Out,Carol,Suffragette,Macbeth,,,,,,
Mad Max: Fury Road,The Mend,World of Tomorrow,Magic Mike XXL,Saint Laurent,Eden,Experimenter,Heaven Knows What,Carol,The Look of Silence,,,,,,
Carol,Mad Max: Fury Road,Brooklyn,Spotlight,Girlhood,The Hateful Eight,Mistress America,Room,Clouds of Sils Maria,Love & Mercy,,,,,,
Carol,Mad Max: Fury Road,Spotlight,The Revenant,Sicario,Crimson Peak,Creed,White God,The Hateful Eight,The Duke of Burgundy,,,,,,
Carol,World of Tomorrow,Phoenix,The Look of Silence,A Pigeon Sat on a Branch Reflecting on Existence,The Duke of Burgundy,Eden,"Kumiko, The Treasure Hunter",Mistress America,Mad Max: Fury Road,,,,,,
Mad Max: Fury Road,Spotlight,Ex Machina,Room,Carol,45 Years,Inside Out,Goodnight Mommy,Tangerine,The Martian,,,,,,
Inside Out,Spotlight,Carol,Mad Max: Fury Road,45 Years,The Diary of a Teenage Girl,Spy,99 Homes,Timbuktu,Son of Saul,,,,,,
Carol,Anomalisa,Jafar Panahi's Taxi [aka Taxi Tehran],It Follows,The Mend,Mad Max: Fury Road,Phoenix,Ex Machina,Hard to Be a God,Heaven Knows What,,,,,,
Mad Max: Fury Road,Tangerine,Carol,Mistress America,45 Years,Magic Mike XXL,The Look of Silence,Brooklyn,Timbuktu,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,
Suffragette,Spotlight,The Revenant,99 Homes,Amy,Ex Machina,Tangerine,The Big Short,Mad Max: Fury Road,Best of Enemies,,,,,,
