Mad Max: Fury Road,Spotlight,The Revenant,Ex Machina,Chi-Raq,Steve Jobs,Kingsman: The Secret Service,Goodnight Mommy,The Martian,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,,,,,,
45 Years,Son of Saul,Bridge of Spies,Experimenter,It Follows,Clouds of Sils Maria,Ex Machina,The Assassin,Spotlight,The Duke of Burgundy,,,,,,
"Kumiko, The Treasure Hunter",Inside Out,When Marnie Was There,Clouds of Sils Maria,The Diary of a Teenage Girl,"The Death of ""Superman Lives"": What Happened?",Jauja,East Side Sushi,Heart of a Dog,Maps to the Stars,,,,,,
Spotlight,Inside Out,The Martian,Star Wars: The Force Awakens,Steve Jobs,The Big Short,Room,Straight Outta Compton,Beasts of No Nation,Creed,,,,,,
Mad Max: Fury Road,In Jackson Heights,Timbuktu,Horse Money,Magic Mike XXL,Hard to Be a God,Heart of a Dog,Blackhat,The Assassin,Chi-Raq,,,,,,
Spotlight,Mad Max: Fury Road,Star Wars: The Force Awakens,The Big Short,Inside Out,Steve Jobs,What We Do in the Shadows,Brooklyn,Creed,Sleeping With Other People,,,,,,
Mad Max: Fury Road,The Revenant,Inside Out,Sicario,Victoria,Star Wars: The Force Awakens,While We're Young,The Martian,It Follows,The Hateful Eight,,,,,,
Mad Max: Fury Road,The Revenant,Inside Out,Victoria,Room,Sicario,Spotlight,Wild Tales,Ex Machina,Amy,,,,,,
The Diary of a Teenage Girl,Mad Max: Fury Road,Sicario,The Hateful Eight,Ex Machina,Steve Jobs,Bridge of Spies,Mistress America,Slow West,The Big Short,,,,,,
Anomalisa,Mad Max: Fury Road,The Look of Silence,What We Do in the Shadows,The Hateful Eight,It Follows,Carol,Ex Machina,Inside Out,Son of Saul,,,,,,
Mad Max: Fury Road,Brooklyn,Spotlight,What We Do in the Shadows,Ex Machina,Slow West,Anomalisa,Crimson Peak,The Martian,Cinderella,,,,,,
Mad Max: Fury Road,Spotlight,Inside Out,Ex Machina,A Most Violent Year,Sicario,Star Wars: The Force Awakens,Room,The Martian,Bridge of Spies,,,,,,
White God,"Two Days, One Night",99 Homes,Amour Fou,Court,Advantageous,The Martian,Clouds of Sils Maria,Ex Machina,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,
The Revenant,Spotlight,Inside Out,Sicario,Anomalisa,Room,99 Homes,Amy,Love & Mercy,Ex Machina,,,,,,
Hard to Be a God,Mad Max: Fury Road,Inherent Vice,Inside Out,Carol,The Tale of the Princess Kaguya,Macbeth,Magic Mike XXL,Song of the Sea,Star Wars: The Force Awakens,,,,,,
The Duke of Burgundy,Phoenix,Carol,Clouds of Sils Maria,Brooklyn,45 Years,The Look of Silence,Spotlight,Tom at the Farm,Mississippi Grind,,,,,,
Carol,Amy,Queen of Earth,Sicario,Phoenix,45 Years,James White,Eden,Stinking Heaven,By the Sea,,,,,,
Carol,The Assassin,Inherent Vice,Amy,Girlhood,Sicario,Steve Jobs,Jauja,Spotlight,45 Years,(tie) Radiator,,,,,
Son of Saul,Mad Max: Fury Road,Inside Out,The Martian,Spotlight,Steve Jobs,The Diary of a Teenage Girl,Tangerine,45 Years,Clouds of Sils Maria,,,,,,
Spotlight,45 Years,Amy,Room,Inside Out,Grandma,Mad Max: Fury Road,I'll See You in My Dreams,Shaun the Sheep Movie,Clouds of Sils Maria,,,,,,
Spotlight,Phoenix,I'll See You in My Dreams,Clouds of Sils Maria,Iris,Mustang,Tangerine,Creed,The Man From U.N.C.L.E.,Ex Machina,,,,,,
Carol,Inherent Vice,45 Years,Mad Max: Fury Road,Amy,Inside Out,It Follows,Birdman,Girlhood,London Road,,,,,,
Brooklyn,Son of Saul,Heaven Knows What,Phoenix,Sicario,Spotlight,Gett: The Trial Of Viviane Amsalem,The Look of Silence,Carol,Mad Max: Fury Road,,,,,,
Star Wars: The Force Awakens,Carol,Son of Saul,Mad Max: Fury Road,Spotlight,The Martian,Sleeping Giant,Inside Out,Amy,Tangerine,,,,,,
Mad Max: Fury Road,Inside Out,Star Wars: The Force Awakens,Sicario,Ex Machina,The Revenant,Carol,Creed,It Follows,The Martian,,,,,,
Mad Max: Fury Road,The Revenant,Sicario,Spotlight,Ex Machina,Star Wars: The Force Awakens,Bridge of Spies,It Follows,The Big Short,(tie) Brooklyn,(tie) The Diary of a Teenage Girl,(tie) Room,,,,
The Martian,Spotlight,Inside Out,Steve Jobs,Room,Mad Max: Fury Road,Brooklyn,Carol,Creed,Trainwreck,,,,,,
Mad Max: Fury Road,Sicario,(tie) The Martian,(tie) Victoria,Ex Machina,(tie) Carol,(tie) Spotlight,(tie) Star Wars: The Force Awakens,(tie) The Assassin,(tie) It Follows,,,,,,
Inherent Vice,The Duke of Burgundy,Love & Mercy,Carol,Mad Max: Fury Road,Birdman,While We're Young,Wild Tales,Beasts of No Nation,Timbuktu,,,,,,
Mad Max: Fury Road,Clouds of Sils Maria,Spotlight,Carol,Ex Machina,Tangerine,The End of the Tour,Eden,Steve Jobs,The Martian,,,,,,
The Big Short,Star Wars: The Force Awakens,Inside Out,Mad Max: Fury Road,Brooklyn,Ant-Man,Steve Jobs,Shaun the Sheep Movie,Spotlight,Me and Earl and the Dying Girl,,,,,,
Ex Machina,Creed,Brooklyn,Love & Mercy,Inside Out,Spotlight,Eden,The Tribe,Heaven Knows What,Amy,,,,,,
Inside Out,Mad Max: Fury Road,Carol,Anomalisa,Spotlight,It Follows,Room,White God,Steve Jobs,Chi-Raq,,,,,,
Arabian Nights,Carol,Krisha,Aaaaaaaah!,The Look of Silence,Mad Max: Fury Road,Ex Machina,Force Majeure,A Pigeon Sat on a Branch Reflecting on Existence,The Martian,,,,,,
The Assassin,Mad Max: Fury Road,Phoenix,The Look of Silence,Carol,The Tribe,Spotlight,Inside Out,Girlhood,Brooklyn,,,,,,
Son of Saul,Spotlight,Steve Jobs,Inside Out,Tangerine,Above and Below,Star Wars: The Force Awakens,The Martian,Mustang,By the Sea,Mon roi,,,,,
The Assassin,0.5 Mm,Our Little Sister,4th Place,Happy Hour,The Throne,Mr. Zhang Believes,A Copy of My Mind,Young Patriot,A Simple Goodbye,,,,,,
45 Years,Carol,Mad Max: Fury Road,Arabian Nights,Magic Mike XXL,The Demons,The Lobster,Victoria,The Endless River,Joy,,,,,,
Spotlight,Slow West,Son of Saul,Timbuktu,The Diary of a Teenage Girl,Amy,A Girl Walks Home Alone at Night,Jafar Panahi's Taxi [aka Taxi Tehran],A Pigeon Sat on a Branch Reflecting on Existence,Inside Out,,,,,,
Clouds of Sils Maria,Anomalisa,The Diary of a Teenage Girl,Boy and the World,The Assassin,Bridge of Spies,The Second Mother,Heart of a Dog,Brooklyn,Mustang,,,,,,
45 Years,Carol,Blood of My Blood,The Assassin,The Lobster,Youth,Francophonia,Thirst,Land and Shade,Son of Saul,,,,,,
Inside Out,Anomalisa,Mad Max: Fury Road,Amy,Spotlight,Steve Jobs,White God,The Hateful Eight,Son of Saul,99 Homes,,,,,,
Mad Max: Fury Road,Mistress America,Chi-Raq,Maps to the Stars,Gett: The Trial of Viviane Amsalem,River of Fundament,Baahubali: The Beginning,Clouds of Sils Maria,Brooklyn,Office,,,,,,
Carol,Clouds of Sils Maria,Phoenix,Mad Max: Fury Road,Saint Laurent,In Jackson Heights,The Assassin,45 Years,The Wonders,Heaven Knows What,,,,,,
The Forbidden Room,The Tribe,Out 1,The Assassin,Anomalisa,Son of Saul,Carol,Arabian Nights,About Elly,Hard to Be a God,,,,,,
Anomalisa,Mad Max: Fury Road,The Look of Silence,The Tribe,Tangerine,The Duke of Burgundy,White God,Girlhood,Heaven Knows What,Hard to Be a God,,,,,,
Jauja,Clouds of Sils Maria,Blackhat,It Follows,The Wonders,Mad Max: Fury Road,Metalhead,Brooklyn,Mistress America,The Tribe,,,,,,
Mad Max: Fury Road,The Look of Silence,Phoenix,Brooklyn,The Assassin,Hard to Be a God,Spotlight,Slow West,James White,Bone Tomahawk,,,,,,
Phoenix,Democrats,Carol,In Jackson Heights,Brooklyn,Field Niggas,The Mend,The Revenant,Mad Max: Fury Road,The Wonders,,,,,,
The Look of Silence,Phoenix,Carol,Brooklyn,The Assassin,Heaven Knows What,It Follows,Mad Max: Fury Road,The Hateful Eight,Western,,,,,,
The Diary of a Teenage Girl,Bridge of Spies,Amy,Room,Famous Nathan,The End of the Tour,Anomalisa,Spotlight,Love & Mercy,Ex Machina,,,,,,
Carol,The Pearl Button,Phoenix,The Look of Silence,Maps to the Stars,The Assassin,Clouds of Sils Maria,Mississippi Grind,It Follows,Timbuktu,,,,,,
Son of Saul,Brooklyn,The Revenant,The Peanuts Movie,Beasts of No Nation,Ex Machina,Bridge of Spies,Tangerine,Youth,45 Years,,,,,,
The Assassin,Mad Max: Fury Road,Timbuktu,Anomalisa,The Martian,The Big Short,The Walk,(tie) The End of the Tour,(tie) Spotlight,Mustang,Tangerine,,,,,
Mad Max: Fury Road,Timbuktu,The Mend,Best of Enemies,Eden,Heart of a Dog,Saint Laurent,Room,Mustang,Sembene!,,,,,,
Room,The Big Short,Inside Out,Listen to Me Marlon,Heart of a Dog,Spotlight,Timbuktu,Experimenter,Mustang,Chi-raq,,,,,,
Spotlight,Love & Mercy,Brooklyn,Carol,Ex Machina,Chi-Raq,Son of Saul,Creed,Inside Out,The Martian,,,,,,
The Duke of Burgundy,Mad Max: Fury Road,The Look of Silence,Phoenix,Son of Saul,Spotlight,Carol,Inside Out,Keeper,A Pigeon Sat on a Branch Reflecting on Existence,,,,,,
Mad Max: Fury Road,Creed,Spotlight,Star Wars: The Force Awakens,The Martian,Brooklyn,Tangerine,Ex Machina,It Follows,Inside Out,,,,,,
Mad Max: Fury Road,Ex Machina,Creed,The Revenant,Star Wars: The Force Awakens,Sicario,The Martian,Spotlight,It Follows,Steve Jobs,,,,,,
Mad Max: Fury Road,Carol,Anomalisa,Grandma,The Tribe,Son of Saul,Ex Machina,Clouds of Sils Maria,Spotlight,Brooklyn,,,,,,
Far From the Madding Crowd,Son of Saul,Spotlight,The Diary of a Teenage Girl,What We Do in the Shadows,Mommy,Inside Out,Appropriate Behavior,Mad Max: Fury Road,Infinitely Polar Bear,,,,,,
Spotlight,Mad Max: Fury Road,Carol,Inside Out,Finder's Keepers,The Big Short,The Martian,Brooklyn,The Revenant,Creed,,,,,,
